mjtNum: float, ntrial per row: 200000

== library functions, unit scale
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
exact_pair      1e-09   lib:mju_eig3(f32)        1.5e-06   3.4e-07   1.4e-06   0.0e+00   8.2e-07   1.6e-06   2.00     2        0
exact_pair      1e-09   lib:mjuu_eig3(f64)       9.2e-15   2.8e-15   9.9e-16   0.0e+00   7.5e-15   3.9e-15   2.00     2        0
exact_pair      1e-06   lib:mju_eig3(f32)        1.5e-06   3.4e-07   1.4e-06   0.0e+00   8.1e-07   1.4e-06   2.00     2        0
exact_pair      1e-06   lib:mjuu_eig3(f64)       9.1e-15   2.8e-15   9.3e-16   0.0e+00   7.5e-15   3.8e-15   2.00     2        0
exact_pair      1e-03   lib:mju_eig3(f32)        1.5e-06   3.3e-07   1.4e-06   0.0e+00   8.2e-07   1.5e-06   2.00     2        0
exact_pair      1e-03   lib:mjuu_eig3(f64)       9.2e-15   2.8e-15   1.0e-15   0.0e+00   7.5e-15   3.9e-15   2.00     2        0
exact_pair      1e+03   lib:mju_eig3(f32)        1.5e-06   3.4e-07   1.4e-06   0.0e+00   8.1e-07   1.5e-06   2.00     2        0
exact_pair      1e+03   lib:mjuu_eig3(f64)       1.1e-14   2.9e-15   1.2e-15   0.0e+00   1.0e-14   3.8e-15   2.00     2        0
exact_pair      1e+06   lib:mju_eig3(f32)        1.5e-06   3.3e-07   1.4e-06   0.0e+00   7.4e-07   1.4e-06   2.00     2        0
exact_pair      1e+06   lib:mjuu_eig3(f64)       1.2e-14   3.9e-15   9.4e-16   0.0e+00   1.0e-14   3.8e-15   2.00     2        0
exact_pair      1e+09   lib:mju_eig3(f32)        1.4e-06   3.3e-07   1.4e-06   0.0e+00   7.4e-07   1.4e-06   2.00     2        0
exact_pair      1e+09   lib:mjuu_eig3(f64)       1.2e-14   3.9e-15   9.4e-16   0.0e+00   1.0e-14   4.3e-15   2.00     2        0
