mjtNum: float, ntrial per row: 200000

== library functions, unit scale
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
inertia_cloud   1e+00   lib:mjuu_eig3(f64)       1.3e-06   7.2e-09   1.3e-06   0.0e+00   1.1e-14   0.0e+00   5.31     7        0
tiny_rotation   1e+00   lib:mju_eig3(f32)        1.2e-03   6.7e-06   1.3e-03   0.0e+00   7.2e-07   1.2e-06   3.02     7        0
tiny_rotation   1e+00   lib:mjuu_eig3(f64)       4.0e-06   2.9e-09   4.2e-06   0.0e+00   5.3e-15   1.9e-11   3.68     8        0
indefinite      1e+00   lib:mju_eig3(f32)        1.2e-03   4.7e-05   1.4e-03   0.0e+00   7.7e-07   1.3e-06   5.03     7        0
indefinite      1e+00   lib:mjuu_eig3(f64)       3.8e-06   2.6e-08   4.7e-06   0.0e+00   1.1e-14   6.4e-12   6.13     8        0

== library functions, scale sweep
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
separated       1e-12   lib:mju_eig3(f32)        8.8e-01   1.7e-01   8.8e-01   1.6e+00   7.4e-07   1.4e+00   0.74     4        0
separated       1e-12   lib:mjuu_eig3(f64)       8.8e-01   1.7e-01   8.8e-01   1.6e+00   1.0e-14   1.4e+00   0.74     4        0
separated       1e-09   lib:mju_eig3(f32)        7.5e-03   5.9e-05   7.3e-03   5.8e-02   7.6e-07   4.5e-04   4.90     7        0
separated       1e-09   lib:mjuu_eig3(f64)       7.5e-03   4.3e-05   7.3e-03   5.8e-02   1.1e-14   4.5e-04   4.94     7        0
separated       1e-06   lib:mju_eig3(f32)        7.7e-04   2.9e-05   8.5e-04   1.3e-03   7.8e-07   1.3e-06   5.16     7        0
separated       1e-06   lib:mjuu_eig3(f64)       5.9e-06   3.0e-08   6.1e-06   4.4e-05   1.1e-14   2.3e-10   6.20     8        0
separated       1e-03   lib:mju_eig3(f32)        7.7e-04   2.9e-05   8.5e-04   1.3e-03   7.8e-07   1.5e-06   5.16     7        0
separated       1e-03   lib:mjuu_eig3(f64)       2.8e-06   2.4e-08   2.9e-06   1.4e-06   1.0e-14   3.9e-12   6.23     8        0
separated       1e+03   lib:mju_eig3(f32)        7.7e-04   2.9e-05   8.5e-04   1.3e-03   7.8e-07   1.3e-06   5.16     7        0
separated       1e+03   lib:mjuu_eig3(f64)       2.8e-06   2.4e-08   2.9e-06   1.4e-06   1.0e-14   3.9e-12   6.23     8        0
separated       1e+06   lib:mju_eig3(f32)        7.7e-04   2.9e-05   8.5e-04   1.3e-03   7.6e-07   1.3e-06   5.16     7        0
separated       1e+06   lib:mjuu_eig3(f64)       2.8e-06   2.4e-08   2.9e-06   1.4e-06   1.1e-14   3.9e-12   6.23     8        0
separated       1e+09   lib:mju_eig3(f32)        7.7e-04   2.9e-05   8.5e-04   1.3e-03   7.6e-07   1.5e-06   5.16     7        0
separated       1e+09   lib:mjuu_eig3(f64)       2.8e-06   2.4e-08   2.9e-06   1.4e-06   1.1e-14   3.9e-12   6.23     8        0
exact_pair      1e-12   lib:mju_eig3(f32)        8.9e-01   1.4e-01   8.9e-01   0.0e+00   7.4e-07   1.6e+00   0.53     2        0
exact_pair      1e-12   lib:mjuu_eig3(f64)       8.9e-01   1.4e-01   8.9e-01   0.0e+00   6.7e-15   1.6e+00   0.53     2        0
exact_pair      1e-09   lib:mju_eig3(f32)        8.4e-03   3.9e-07   8.5e-03   0.0e+00   7.5e-07   7.3e-04   1.99     2        0
exact_pair      1e-09   lib:mjuu_eig3(f64)       8.4e-03   2.9e-15   8.5e-03   0.0e+00   7.1e-15   7.3e-04   1.99     2        0
exact_pair      1e-06   lib:mju_eig3(f32)        4.9e-04   3.9e-07   6.4e-04   0.0e+00   7.6e-07   1.5e-06   2.00     2        0
exact_pair      1e-06   lib:mjuu_eig3(f64)       4.4e-11   2.9e-15   4.6e-11   0.0e+00   7.1e-15   2.9e-15   2.00     2        0
exact_pair      1e-03   lib:mju_eig3(f32)        4.9e-04   3.9e-07   6.4e-04   0.0e+00   7.5e-07   1.6e-06   2.01     8        0
exact_pair      1e-03   lib:mjuu_eig3(f64)       4.4e-11   2.9e-15   4.6e-11   0.0e+00   7.1e-15   3.0e-15   2.00     2        0
exact_pair      1e+03   lib:mju_eig3(f32)        4.9e-04   3.9e-07   6.4e-04   0.0e+00   7.4e-07   1.5e-06   2.01     7        0
exact_pair      1e+03   lib:mjuu_eig3(f64)       4.4e-11   3.0e-15   4.6e-11   0.0e+00   9.8e-15   3.0e-15   2.00     9        0
exact_pair      1e+06   lib:mju_eig3(f32)        4.9e-04   3.9e-07   6.4e-04   0.0e+00   7.5e-07   1.5e-06   2.02     8        0
exact_pair      1e+06   lib:mjuu_eig3(f64)       4.4e-11   3.8e-15   4.6e-11   0.0e+00   9.8e-15   3.3e-15   2.09    18        0
exact_pair      1e+09   lib:mju_eig3(f32)        4.9e-04   3.9e-07   6.4e-04   0.0e+00   7.6e-07   1.7e-06   2.02     8        0
exact_pair      1e+09   lib:mjuu_eig3(f64)       4.4e-11   3.8e-15   4.6e-11   0.0e+00   1.0e-14   3.0e-15   2.08    18        0
