mjtNum: double, ntrial per row: 50000

== candidate rules, double, scale sweep
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
separated       1e-12   float:rel(8)+legacyhalf   7.3e-04   2.9e-05   8.5e-04   7.2e-04   7.5e-07   1.3e-06 499.77   500    49977
separated       1e-12   float:rel(8)+progress    1.8e-06   4.0e-07   1.1e-06   8.7e-06   7.4e-07   1.4e-06   6.23     8        0
separated       1e-06   float:current            7.3e-04   2.9e-05   8.5e-04   7.2e-04   7.6e-07   1.2e-06   5.16     7        0
separated       1e-06   float:ttest(1)+stable    5.7e-06   3.6e-07   5.7e-06   4.3e-05   7.4e-07   1.3e-06   6.40   500        4
separated       1e-06   float:rel(8)             1.8e-06   4.0e-07   1.2e-06   8.4e-06   7.4e-07   1.3e-06   6.23     8        0
separated       1e-06   float:rel(8)+legacyhalf   7.3e-04   2.9e-05   8.5e-04   7.2e-04   7.6e-07   1.4e-06 499.75   500    49975
separated       1e-06   float:rel(8)+progress    1.8e-06   4.0e-07   1.2e-06   8.4e-06   7.4e-07   1.3e-06   6.23     8        0
separated       1e+06   float:current            7.3e-04   2.9e-05   8.5e-04   7.2e-04   7.6e-07   1.2e-06   5.16     7        0
separated       1e+06   float:ttest(1)+stable    1.5e-06   3.4e-07   4.2e-07   1.0e-06   7.8e-07   1.4e-06  13.66   500      678
separated       1e+06   float:rel(8)             1.8e-06   3.9e-07   1.2e-06   8.6e-06   7.2e-07   1.2e-06   6.23     8        0
separated       1e+06   float:rel(8)+legacyhalf   7.3e-04   2.9e-05   8.5e-04   7.2e-04   7.6e-07   1.2e-06 499.75   500    49975
separated       1e+06   float:rel(8)+progress    1.8e-06   3.9e-07   1.2e-06   8.6e-06   7.2e-07   1.2e-06   6.23     8        0
separated       1e+12   float:current            7.3e-04   2.9e-05   8.5e-04   7.2e-04   7.6e-07   1.2e-06   5.16     7        0
separated       1e+12   float:ttest(1)+stable    1.4e-06   3.4e-07   4.7e-07   1.5e-06   7.5e-07   1.3e-06  14.04   500      716
separated       1e+12   float:rel(8)             1.9e-06   4.0e-07   1.2e-06   8.6e-06   7.3e-07   1.2e-06   6.23     8        0
separated       1e+12   float:rel(8)+legacyhalf   7.3e-04   2.9e-05   8.5e-04   7.2e-04   7.6e-07   1.3e-06 499.76   500    49976
separated       1e+12   float:rel(8)+progress    1.9e-06   4.0e-07   1.2e-06   8.6e-06   7.3e-07   1.2e-06   6.23     8        0
exact_pair      1e-12   float:current            8.8e-01   1.3e-01   8.8e-01   0.0e+00   7.4e-07   1.6e+00   0.53     2        0
exact_pair      1e-12   float:ttest(1)+stable    8.8e-01   1.3e-01   8.8e-01   0.0e+00   7.1e-07   1.6e+00   0.53     2        0
exact_pair      1e-12   float:rel(8)             1.4e-06   3.5e-07   4.6e-07   0.0e+00   7.4e-07   1.4e-06   2.00     2        0
exact_pair      1e-12   float:rel(8)+legacyhalf   4.0e-04   4.0e-07   4.7e-04   0.0e+00   7.5e-07   1.2e-06  42.37   500     4053
exact_pair      1e-12   float:rel(8)+progress    1.4e-06   3.5e-07   4.6e-07   0.0e+00   7.4e-07   1.4e-06   2.00     2        0
exact_pair      1e-06   float:current            4.0e-04   3.9e-07   4.7e-04   0.0e+00   7.5e-07   1.3e-06   2.00     2        0
exact_pair      1e-06   float:ttest(1)+stable    1.5e-06   3.4e-07   4.7e-07   0.0e+00   7.4e-07   1.4e-06   2.02   500        2
exact_pair      1e-06   float:rel(8)             1.5e-06   3.4e-07   4.8e-07   0.0e+00   7.4e-07   1.4e-06   2.00     2        0
exact_pair      1e-06   float:rel(8)+legacyhalf   4.0e-04   3.9e-07   4.7e-04   0.0e+00   7.5e-07   1.3e-06  42.39   500     4055
exact_pair      1e-06   float:rel(8)+progress    1.5e-06   3.4e-07   4.8e-07   0.0e+00   7.4e-07   1.4e-06   2.00     2        0
exact_pair      1e+06   float:current            4.0e-04   3.9e-07   4.7e-04   0.0e+00   7.5e-07   1.5e-06   2.02     8        0
exact_pair      1e+06   float:ttest(1)+stable    1.4e-06   3.4e-07   5.9e-07   0.0e+00   7.4e-07   1.3e-06  12.38   500      989
exact_pair      1e+06   float:rel(8)             1.4e-06   3.4e-07   5.9e-07   0.0e+00   7.4e-07   1.3e-06   2.00     2        0
exact_pair      1e+06   float:rel(8)+legacyhalf   4.0e-04   3.9e-07   4.7e-04   0.0e+00   7.5e-07   1.5e-06  42.45   500     4061
exact_pair      1e+06   float:rel(8)+progress    1.4e-06   3.4e-07   5.9e-07   0.0e+00   7.4e-07   1.3e-06   2.00     2        0
exact_pair      1e+12   float:current            4.0e-04   3.9e-07   4.7e-04   0.0e+00   7.5e-07   1.2e-06   2.01     7        0
exact_pair      1e+12   float:ttest(1)+stable    1.4e-06   3.4e-07   6.3e-07   0.0e+00   7.3e-07   1.5e-06  12.10   500      961
exact_pair      1e+12   float:rel(8)             1.4e-06   3.4e-07   6.3e-07   0.0e+00   7.3e-07   1.5e-06   2.00     2        0
exact_pair      1e+12   float:rel(8)+legacyhalf   4.0e-04   3.9e-07   4.7e-04   0.0e+00   7.5e-07   1.2e-06  42.42   500     4058
exact_pair      1e+12   float:rel(8)+progress    1.4e-06   3.4e-07   6.3e-07   0.0e+00   7.3e-07   1.5e-06   2.00     2        0
