mjtNum: double, ntrial per row: 200000

== library functions, unit scale
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
exact_pair      1e-09   lib:mju_eig3(f64)        8.4e-03   8.9e-16   8.5e-03   0.0e+00   4.0e-15   7.3e-04   1.99     2        0
exact_pair      1e-09   lib:mjuu_eig3(f64)       8.4e-03   2.9e-15   8.5e-03   0.0e+00   7.1e-15   7.3e-04   1.99     2        0
exact_pair      1e-06   lib:mju_eig3(f64)        4.4e-11   8.9e-16   4.6e-11   0.0e+00   4.0e-15   2.9e-15   2.00     2        0
exact_pair      1e-06   lib:mjuu_eig3(f64)       4.4e-11   2.9e-15   4.6e-11   0.0e+00   7.1e-15   2.9e-15   2.00     2        0
exact_pair      1e-03   lib:mju_eig3(f64)        4.4e-11   8.9e-16   4.6e-11   0.0e+00   4.0e-15   3.0e-15   2.00     2        0
exact_pair      1e-03   lib:mjuu_eig3(f64)       4.4e-11   2.9e-15   4.6e-11   0.0e+00   7.1e-15   3.0e-15   2.00     2        0
exact_pair      1e+03   lib:mju_eig3(f64)        4.4e-11   9.3e-16   4.6e-11   0.0e+00   4.0e-15   3.0e-15   2.00     9        0
exact_pair      1e+03   lib:mjuu_eig3(f64)       4.4e-11   3.0e-15   4.6e-11   0.0e+00   9.8e-15   3.0e-15   2.00     9        0
exact_pair      1e+06   lib:mju_eig3(f64)        4.4e-11   1.7e-15   4.6e-11   0.0e+00   4.4e-15   3.3e-15   2.09    18        0
exact_pair      1e+06   lib:mjuu_eig3(f64)       4.4e-11   3.8e-15   4.6e-11   0.0e+00   9.8e-15   3.3e-15   2.09    18        0
exact_pair      1e+09   lib:mju_eig3(f64)        4.4e-11   1.7e-15   4.6e-11   0.0e+00   4.4e-15   3.0e-15   2.08    18        0
exact_pair      1e+09   lib:mjuu_eig3(f64)       4.4e-11   3.8e-15   4.6e-11   0.0e+00   1.0e-14   3.0e-15   2.08    18        0
