time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1
0.036,1.57082737,1.90852153,0.00338045906,0.00156255431,0.277982254,0.00133067567,-0.00156255431,0.000730683079,-3.65038793e-08,3.6492487e-08,3.6492487e-08,1.22444429e-08,4.49829463e-06,-2.44157596e-06,-4.09849567e-08,1,3.10386033e-05,1.43316873e-05
0.038,1.57083484,1.90852499,0.00395719962,0.00182966513,0.305776298,0.00151569817,-0.00182966513,0.00085559234,-4.44339772e-08,4.4420115e-08,4.4420115e-08,1.67840124e-08,5.99792022e-06,-3.34767449e-06,-5.38067039e-08,1,3.85117775e-05,1.77866548e-05
0.04,1.57084353,1.90852901,0.00458980225,0.00212274856,0.33389147,0.00171358244,-0.00212274856,0.000992648287,-5.34388882e-08,5.34222236e-08,5.34222236e-08,2.25858566e-08,7.86500455e-06,-4.50606145e-06,-6.94471756e-08,1,4.72081528e-05,2.18082572e-05
0.042,1.57085357,1.90853365,0.00527880658,0.00244207172,0.362240695,0.00192426526,-0.00244207172,0.00114197623,-6.35761595e-08,6.35563432e-08,6.35563432e-08,2.9884491e-08,1.01578241e-05,-5.96371427e-06,-8.82480164e-08,1,5.72401641e-05,2.64487904e-05
0.044,1.57086505,1.90853896,0.00602472799,0.00278788941,0.390902764,0.00214803431,-0.00278788941,0.00130369578,-7.48979461e-08,7.48746136e-08,7.48746136e-08,3.89378716e-08,1.29413224e-05,-7.77232738e-06,-1.105686e-07,1,6.87212366e-05,3.17610423e-05
0.046,1.57087809,1.908545,0.00682825034,0.00316053283,0.419930452,0.00238515725,-0.00316053283,0.00147796236,-8.74519256e-08,8.74246993e-08,8.74246993e-08,5.00306726e-08,1.62864508e-05,-9.98896776e-06,-1.36784818e-07,1,8.17660374e-05,3.77984059e-05
0.048,1.57089282,1.90855182,0.00769005106,0.00356032917,0.449213728,0.00263555007,-0.00356032917,0.00166492959,-1.01282045e-07,1.01250535e-07,1.01250535e-07,6.3473611e-08,2.02675146e-05,-1.26759438e-05,-1.67270644e-07,1,9.64906425e-05,4.46149546e-05
0.05,1.57090934,1.90855947,0.0086104641,0.00398744679,0.478497493,0.00289874247,-0.00398744679,0.00186467692,-1.16428301e-07,1.16392108e-07,1.16392108e-07,7.95980397e-08,2.4959518e-05,-1.58997319e-05,-2.02373779e-07,1,0.000113012103,5.226524e-05
0.052,1.57092777,1.90856801,0.00958927858,0.00444180237,0.507511141,0.00317411303,-0.00444180237,0.0020771662,-1.32925705e-07,1.3288442e-07,1.3288442e-07,9.87490723e-08,3.04374541e-05,-1.97296083e-05,-2.42401727e-07,1,0.000131447467,6.08038409e-05
0.054,1.57094824,1.90857749,0.0106258071,0.00492309223,0.536085729,0.00346115565,-0.00492309223,0.00230225631,-1.5080322e-07,1.50756429e-07,1.50756429e-07,1.21281506e-07,3.67775724e-05,-2.42368371e-05,-2.87624671e-07,1,0.000151912736,7.02848804e-05
0.056,1.57097085,1.90858796,0.0117191179,0.00543089879,0.564167536,0.00375955874,-0.00543089879,0.00253975299,-1.7008337e-07,1.70030654e-07,1.70030654e-07,1.47559789e-07,4.40587121e-05,-2.94946616e-05,-3.3828597e-07,1,0.000174522194,8.07617145e-05
0.058,1.57099571,1.90859949,0.0128682135,0.00596477277,0.591736658,0.00406906875,-0.00596477277,0.00278944724,-1.90782546e-07,1.90723485e-07,1.90723485e-07,1.77959086e-07,5.23616454e-05,-3.55785141e-05,-3.94604544e-07,1,0.000199388163,9.22868176e-05
0.06,1.57102295,1.90861211,0.0140720229,0.00652422964,0.618713666,0.00438928783,-0.00652422964,0.00305111368,-2.12911522e-07,2.12845696e-07,2.12845696e-07,2.12863055e-07,6.1766159e-05,-4.25655723e-05,-4.56761285e-07,1,0.000226620895,0.000104911729
0.062,1.57105266,1.90862589,0.0153292484,0.00710867907,0.644931438,0.00471958016,-0.00710867907,0.00332447757,-2.36475601e-07,2.36402594e-07,2.36402594e-07,2.52656633e-07,7.23476164e-05,-5.05333181e-05,-5.24876353e-07,1,0.000256328245,0.000118686899
0.064,1.57108494,1.90864086,0.0166382163,0.00771735659,0.670182833,0.00505914242,-0.00771735659,0.0036091828,-2.61474256e-07,2.61393657e-07,2.61393657e-07,2.97716292e-07,8.41751057e-05,-5.95575928e-05,-5.98992032e-07,1,0.000288615018,0.000133661388
0.066,1.57111991,1.90865708,0.0179968528,0.00834931208,0.694292163,0.00540715202,-0.00834931208,0.00390478655,-2.87900558e-07,2.87811962e-07,2.87811962e-07,3.48402115e-07,9.73117191e-05,-6.97110121e-05,-6.79070378e-07,1,0.000323582164,0.00014988249
0.068,1.57115765,1.9086746,0.0194027814,0.00900345443,0.717149098,0.00576286095,-0.00900345443,0.00421078016,-3.15740823e-07,3.15643837e-07,3.15643837e-07,4.05053951e-07,0.000111815531,-8.10621918e-05,-7.6500174e-07,1,0.000361326087,0.000167395415
0.07,1.57119826,1.90869345,0.0208534431,0.0096786071,0.738685085,0.00612557111,-0.0096786071,0.00452661508,-3.44974667e-07,3.44868908e-07,3.44868908e-07,4.67989891e-07,0.000127739249,-9.36754355e-05,-8.56611592e-07,1,0.000401938194,0.000186243077
0.072,1.57124183,1.90871367,0.0223461426,0.010373529,0.758822053,0.00649453386,-0.010373529,0.00485171264,-3.75575301e-07,3.75460404e-07,3.75460404e-07,5.37503144e-07,0.00014512778,-0.000107610104,-9.53656057e-07,1,0.000445504605,0.000206465956
0.074,1.57128843,1.9087353,0.0238779989,0.011086892,0.77743982,0.0068688693,-0.011086892,0.0051854535,-4.07509772e-07,4.07385386e-07,4.07385386e-07,6.13854848e-07,0.000164014854,-0.000122919173,-1.05580763e-06,1,0.000492105829,0.000228101945
