time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2,q3
0.032,1.57081485,1.90851572,0.0023378745,0.00107733852,0.224636438,0.0013986375,-0.00107733852,0.000503783413,-2.83084443e-08,2.82996042e-08,2.87625707e-08,1.07909465e-08,3.26983895e-06,-1.16065829e-06,-3.25873911e-08,3,1.8525123e-05,-2.10044025e-05,8.52111457e-06,-1.0983751e-05
0.034,1.57082011,1.90851815,0.00280738341,0.00129433148,0.251680532,0.00160810441,-0.00129433148,0.000605254652,-3.53006859e-08,3.52896652e-08,3.58548684e-08,1.55681429e-08,4.51456565e-06,-1.67529398e-06,-4.40094269e-08,3,2.37793166e-05,-2.69606401e-05,1.09431141e-05,-1.41044258e-05
0.036,1.57082637,1.90852103,0.0033311139,0.0015365098,0.278832748,0.0018298475,-0.0015365098,0.000718503825,-4.3360983e-08,4.334745e-08,4.40279021e-08,2.19289401e-08,6.09543044e-06,-2.36086236e-06,-5.81557962e-08,3,3.00402596e-05,-3.40578618e-05,1.38305555e-05,-1.782443e-05
0.038,1.57083374,1.90852444,0.00390911719,0.0018039266,0.305953495,0.00206332799,-0.0018039266,0.000843556043,-5.25506907e-08,5.25342953e-08,5.33432963e-08,3.02129781e-08,8.06579092e-06,-3.25415117e-06,-7.5319527e-08,3,3.74165178e-05,-4.24190546e-05,1.72339035e-05,-2.22086609e-05
0.04,1.57084234,1.90852841,0.00454143693,0.00209662642,0.333240464,0.00230933918,-0.00209662642,0.000980432462,-6.29207709e-08,6.29011482e-08,6.38520994e-08,4.07956073e-08,1.04877182e-05,-4.39584235e-06,-9.58233956e-08,3,4.60166393e-05,-5.21671748e-05,2.12036676e-05,-2.73220554e-05
0.042,1.57085228,1.90853299,0.00522866416,0.00241489951,0.361045697,0.00256940426,-0.00241489951,0.00112926919,-7.45153355e-08,7.4492108e-08,7.55984283e-08,5.40993258e-08,1.3434552e-05,-5.83173966e-06,-1.2005078e-07,3,5.59498861e-05,-6.34259808e-05,2.57907272e-05,-3.32300107e-05
0.044,1.57086365,1.90853825,0.00597206751,0.00275934317,0.389639004,0.00284486931,-0.00275934317,0.00129034601,-8.73758729e-08,8.73486514e-08,8.86237943e-08,7.06049784e-08,1.69897516e-05,-7.61397475e-06,-1.48445448e-07,3,6.73275665e-05,-7.63215453e-05,3.10469334e-05,-3.99991623e-05
0.046,1.57087659,1.90854423,0.00677328058,0.00313072105,0.419033832,0.00313614662,-0.00313072105,0.00146402054,-1.01543981e-07,1.01512364e-07,1.02969886e-07,9.08554676e-08,2.1242001e-05,-9.80141428e-06,-1.81474514e-07,3,8.02640586e-05,-9.0983417e-05,3.70255744e-05,-4.76979851e-05
0.048,1.5708912,1.90855098,0.00763373772,0.00352970649,0.448950249,0.00344244513,-0.00352970649,0.00165060829,-1.17061364e-07,1.17024943e-07,1.18678554e-07,1.15447905e-07,2.62787233e-05,-1.24588279e-05,-2.19569038e-07,3,9.48768524e-05,-0.000107544668,4.37813957e-05,-5.63968188e-05
0.05,1.57090761,1.90855857,0.00855414595,0.0039566411,0.478917906,0.00376206232,-0.0039566411,0.00185026972,-1.33967289e-07,1.3392564e-07,1.35789191e-07,1.45016038e-07,3.21812301e-05,-1.56550088e-05,-2.63069514e-07,3,0.000111285463,-0.000126140658,5.13701051e-05,-6.61672294e-05
0.052,1.57092594,1.90856705,0.00953423428,0.00441141883,0.508456295,0.00409304211,-0.00441141883,0.00206295605,-1.52294834e-07,1.52247528e-07,1.54334913e-07,1.8021015e-07,3.90240224e-05,-1.94606161e-05,-3.12202397e-07,3,0.000129609609,-0.00014690697,5.98475389e-05,-7.70809334e-05
0.054,1.57094629,1.90857647,0.0105728668,0.00489353581,0.537240227,0.00443385392,-0.00489353581,0.00228843257,-1.72067747e-07,1.72014352e-07,1.74339353e-07,2.21683328e-07,4.6878547e-05,-2.39466927e-05,-3.67098602e-07,3,0.00014996734,-0.000169977285,6.92688044e-05,-8.92086912e-05
0.056,1.5709688,1.90858689,0.0116684276,0.00540226479,0.565175111,0.00478377425,-0.00540226479,0.00252636019,-1.93299219e-07,1.932393e-07,1.95815423e-07,2.70089709e-07,5.58191237e-05,-2.91844648e-05,-4.27842641e-07,3,0.000172473763,-0.000195481938,7.96876895e-05,-0.000102619546
0.058,1.57099357,1.90859836,0.0128192688,0.00593685946,0.592356624,0.00514282509,-0.00593685946,0.00277639101,-2.15992876e-07,2.15926002e-07,2.18766359e-07,3.26093519e-07,6.59272574e-05,-3.52463002e-05,-4.94523556e-07,3,0.00019724065,-0.000223547475,9.11564744e-05,-0.000117380583
0.06,1.5710207,1.90861093,0.014024006,0.00649669012,0.618945974,0.0055113452,-0.00649669012,0.00303823176,-2.40145247e-07,2.40070993e-07,2.43188238e-07,3.90381e-07,7.72911382e-05,-4.22069825e-05,-5.67256779e-07,3,0.00022437678,-0.000254297041,0.000103726081,-0.000133557124
0.062,1.57105032,1.90862465,0.0152815398,0.00708125474,0.645027942,0.00588943346,-0.00708125474,0.00331164897,-2.6574834e-07,2.65666286e-07,2.69072618e-07,4.63664693e-07,8.99996116e-05,-5.01441687e-05,-6.46161134e-07,3,0.000253988538,-0.000287851064,0.000117446338,-0.00015121307
0.064,1.57108251,1.90863957,0.0165908224,0.00769007367,0.670519852,0.00627653804,-0.00769007367,0.00359641974,-2.92791082e-07,2.92700818e-07,2.96407998e-07,5.46672644e-07,0.000104132928,-5.9137233e-05,-7.31299059e-07,3,0.000286180227,-0.000324327607,0.000132366123,-0.000170411084
0.066,1.57111738,1.90865574,0.0179505063,0.00832252953,0.695168605,0.00667136778,-0.00832252953,0.00389225688,-3.21259042e-07,3.21160168e-07,3.25179523e-07,6.40122641e-07,0.00011975443,-6.92644978e-05,-8.22607645e-07,3,0.000321053733,-0.000363841986,0.000148533207,-0.000191212393
0.068,1.57115503,1.9086732,0.0193586516,0.00897773322,0.718627971,0.00707213394,-0.00897773322,0.00419874618,-3.51132721e-07,3.51024849e-07,3.55367237e-07,7.44689336e-07,0.000136906977,-8.05996938e-05,-9.19853264e-07,3,0.000358707541,-0.000406505656,0.000165993802,-0.000213676204
0.07,1.57119556,1.90869199,0.020812623,0.00965447609,0.740571739,0.00747697511,-0.00965447609,0.00451532412,-3.82385347e-07,3.82268104e-07,3.86943828e-07,8.60976017e-07,0.000155615464,-9.32089085e-05,-1.02263092e-06,3,0.000399235386,-0.000452424681,0.000184791941,-0.000237858905
0.072,1.57123905,1.90871217,0.022309207,0.0103512822,0.760786309,0.00788434883,-0.0103512822,0.00484130219,-4.14981251e-07,4.14854281e-07,4.19872971e-07,9.89500466e-07,0.00017589357,-0.000107149042,-1.13040706e-06,3,0.000442724975,-0.00050169828,0.00020496889,-0.000263813308
0.074,1.57128558,1.90873376,0.0238448716,0.0110665262,0.77920189,0.00829321166,-0.0110665262,0.00517592211,-4.48875509e-07,4.48738477e-07,4.54108986e-07,1.130697e-06,0.000197750567,-0.000122468002,-1.24258278e-06,3,0.000489257145,-0.000554417883,0.000226562758,-0.000291588142
0.076,1.57133523,1.90875681,0.0254160349,0.0117985562,0.7958544,0.00870292722,-0.0117985562,0.00551841318,-4.84014909e-07,4.83867505e-07,4.8959782e-07,1.28492811e-06,0.000221193902,-0.000139205929,-1.3585445e-06,3,0.000538905571,-0.000610666789,0.000249608353,-0.000321227877
0.078,1.57138806,1.90878134,0.0270192189,0.0125457645,0.810803285,0.00911297466,-0.0125457645,0.00586802534,-5.20339652e-07,5.20181591e-07,5.26278795e-07,1.45249397e-06,0.000246225457,-0.000157396207,-1.47767631e-06,3,0.000591736883,-0.000670520309,0.000274137227,-0.00035277278
0.08,1.57144414,1.90880738,0.0286510305,0.0133065795,0.824048361,0.00952261576,-0.0133065795,0.00622402555,-5.57784949e-07,5.57615975e-07,5.64086236e-07,1.63362876e-06,0.000272832755,-0.000177065059,-1.59932895e-06,3,0.000647810878,-0.000734046005,0.000300177772,-0.000386259038
0.082,1.57150351,1.90883496,0.0303080005,0.0140793933,0.835484645,0.00993068095,-0.0140793933,0.00658566366,-5.96281809e-07,5.96101693e-07,6.02950264e-07,1.82847997e-06,0.000300979084,-0.000198229314,-1.72276272e-06,3,0.000707180503,-0.00080130367,0.000327755204,-0.000421718745
0.084,1.57156622,1.90886409,0.031986373,0.014862465,0.844912319,0.0103355626,-0.014862465,0.00695212746,-6.3575677e-07,6.35565317e-07,6.42796524e-07,2.03707558e-06,0.000330597162,-0.000220892866,-1.84709469e-06,3,0.00076989144,-0.000872344859,0.000356891373,-0.00045917965
0.086,1.57163231,1.90889481,0.0336819516,0.015653851,0.852091442,0.0107353979,-0.015653851,0.0073225097,-6.76130866e-07,6.75927911e-07,6.83545112e-07,2.25929057e-06,0.000361589154,-0.000245043051,-1.97127831e-06,3,0.000835981322,-0.000947212003,0.000387604399,-0.000498664698
0.088,1.57170181,1.90892711,0.0353900716,0.0164513911,0.856811278,0.0111283367,-0.0164513911,0.00769580181,-7.17318426e-07,7.17103838e-07,7.25109364e-07,2.49482503e-06,0.000393832633,-0.000270648269,-2.09412668e-06,3,0.000905478801,-0.00102593734,0.000419908243,-0.00054019147
0.09,1.57177473,1.90896101,0.0371057015,0.0172527543,0.858940498,0.0115127621,-0.0172527543,0.00807091525,-7.59226357e-07,7.59000042e-07,7.67395115e-07,2.74320035e-06,0.000427189115,-0.00029765753,-2.21436973e-06,3,0.000978402713,-0.001108542,0.00045381232,-0.000583771692
0.092,1.57185109,1.90899652,0.0388236159,0.0180555176,0.858436998,0.0118873675,-0.0180555176,0.00844671826,-8.01754245e-07,8.01516147e-07,8.10300817e-07,3.00377107e-06,0.000461510588,-0.000326001714,-2.33071938e-06,3,0.00105476156,-0.00119503537,0.000489321255,-0.000629410919
0.094,1.57193088,1.90903364,0.0405385564,0.0188572395,0.855317137,0.0122510692,-0.0188572395,0.00882207025,-8.44795219e-07,8.44545323e-07,8.53718413e-07,3.2757429e-06,0.000496640661,-0.00035559548,-2.44191494e-06,3,0.00113455334,-0.00128541496,0.000526434795,-0.000677108425
0.096,1.57201409,1.90907235,0.0422453104,0.0196554963,0.849603141,0.0126028166,-0.0196554963,0.00919583881,-8.88237167e-07,8.87975495e-07,8.97534586e-07,3.55818468e-06,0.0005324099,-0.000386338535,-2.5467323e-06,3,0.00121776558,-0.00137966638,0.000565147825,-0.000726857229
0.098,1.5721007,1.90911265,0.0439386839,0.0204478707,0.841275589,0.0129413975,-0.0204478707,0.00956689423,-9.31963778e-07,9.31690397e-07,9.41631815e-07,3.85002634e-06,0.000568627975,-0.000418115416,-2.64395982e-06,3,0.00130437542,-0.0014777635,0.000605450394,-0.000778644126
0.1,1.57219068,1.90915453,0.0456133983,0.0212319043,0.830252662,0.0132653335,-0.0212319043,0.00993408738,-9.75855041e-07,9.75570057e-07,9.85888881e-07,4.15004295e-06,0.000605076942,-0.000450793758,-2.73236048e-06,3,0.00139434952,-0.00157966831,0.000647327677,-0.000832449644
0.102,1.57228397,1.90919796,0.0472639696,0.0220050429,0.81640307,0.0135729048,-0.0220050429,0.0102962241,-1.01978711e-06,1.01949067e-06,1.03018072e-06,4.45683265e-06,0.000641509362,-0.000484221914,-2.81064577e-06,3,0.00148764374,-0.00168533056,0.000690759817,-0.000888247843
0.104,1.57238053,1.90924292,0.0488846353,0.0227646031,0.799583138,0.0138622809,-0.0227646031,0.0106520493,-1.06363178e-06,1.06332408e-06,1.07437789e-06,4.76880016e-06,0.000677652544,-0.000518227154,-2.87747994e-06,3,0.00158420265,-0.00179468722,0.000735721691,-0.000946006015
0.106,1.57248029,1.90928938,0.0504693613,0.0235077747,0.779678292,0.0141316858,-0.0235077747,0.0110002484,-1.10725592e-06,1.10693718e-06,1.11834598e-06,5.08415513e-06,0.000713217155,-0.000552615469,-2.9315177e-06,3,0.00168395893,-0.00190766177,0.000782182647,-0.00100568435
0.108,1.57258316,1.90933731,0.052011924,0.0242316578,0.756629218,0.0143795198,-0.0242316578,0.0113394644,-1.15052131e-06,1.15019182e-06,1.16194548e-06,5.40092783e-06,0.00074790649,-0.00058717324,-2.97146234e-06,3,0.00178683293,-0.00202416377,0.000830106293,-0.00106723566
