time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0.038,1.57079633,1.9085072,9.91097211e-17,2.27559286e-15,1.11686961e-13,-6.47612097e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.39118487e-32,-6.41846543e-32,0,-4.70847318e-30,2,3.04126983e-19,5.62000024e-17,1.69219857e-16
0.04,1.57079633,1.9085072,-2.06901683e-16,2.92049828e-15,6.13770477e-13,9.81000563e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.32889957e-32,-2.02970667e-31,0,-5.38681569e-30,2,1.07015699e-19,5.57591944e-17,1.74177213e-16
0.042,1.57079633,1.9085072,1.47398696e-16,2.16758901e-15,4.09823311e-14,-8.59850314e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.27171512e-32,-1.26740815e-31,0,-4.53587719e-30,2,2.45713673e-19,5.49296311e-17,1.7911426e-16
0.044,1.57079633,1.9085072,-1.90010188e-16,2.77094614e-15,5.72539214e-13,9.01597238e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.12341208e-32,-1.7131266e-31,0,-5.03430747e-30,2,9.69074011e-20,5.42583137e-17,1.83810264e-16
0.046,1.57079633,1.9085072,1.39860125e-16,2.05254634e-15,3.71475856e-14,-8.15154651e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.15075475e-32,-1.14007631e-31,0,-4.11945332e-30,2,2.31708055e-19,5.32691788e-17,1.88488008e-16
0.048,1.57079633,1.9085072,-1.79655697e-16,2.62936925e-15,5.40437397e-13,8.52706195e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.94417832e-32,-1.53193526e-31,0,-4.69959194e-30,2,9.11445824e-20,5.24257913e-17,1.92940418e-16
0.05,1.57079633,1.9085072,1.31789965e-16,1.94649073e-15,3.51862262e-14,-7.67875981e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.04746844e-32,-1.01198348e-31,0,-3.75970573e-30,2,2.17852316e-19,5.12924626e-17,1.97377173e-16
0.052,1.57079633,1.9085072,-1.70087812e-16,2.4992909e-15,5.11036806e-13,8.08281576e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.79293637e-32,-1.37478845e-31,0,-4.42568761e-30,2,8.43149722e-20,5.02890037e-17,2.01605851e-16
0.054,1.57079633,1.9085072,1.24487095e-16,1.8491024e-15,3.33941939e-14,-7.24327206e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,9.59739053e-33,-9.01693893e-32,0,-3.45488151e-30,2,2.03783466e-19,4.90204521e-17,2.05821272e-16
0.056,1.57079633,1.9085072,-1.61174017e-16,2.37990407e-15,4.83989096e-13,7.67397608e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.66571302e-32,-1.23684555e-31,0,-4.20449048e-30,2,7.69449543e-20,4.78670388e-17,2.09844581e-16
0.058,1.57079633,1.9085072,1.17871034e-16,1.75970261e-15,3.17284863e-14,-6.84339467e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,8.85312758e-33,-8.06638009e-32,0,-3.19716508e-30,2,1.89968589e-19,4.64715233e-17,2.13856834e-16
0.06,1.57079633,1.9085072,-1.5290426e-16,2.27037022e-15,4.5911645e-13,7.29794026e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.55900645e-32,-1.11588615e-31,0,-4.02804598e-30,2,6.94545455e-20,4.51775563e-17,2.17691687e-16
0.062,1.57079633,1.9085072,1.11853818e-16,1.677664e-15,3.01856837e-14,-6.47615012e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,8.22267706e-33,-7.24382114e-32,0,-2.97975484e-30,2,1.76691848e-19,4.36627672e-17,2.2151751e-16
0.064,1.57079633,1.9085072,-1.45256911e-16,2.16992136e-15,4.36256317e-13,6.95236763e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.46984056e-32,-1.00987945e-31,0,-3.88959411e-30,2,6.20955813e-20,4.2236975e-17,2.25179499e-16
0.066,1.57079633,1.9085072,1.06366601e-16,1.60241343e-15,2.8761017e-14,-6.13885504e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,7.68970995e-33,-6.52969143e-32,0,-2.7968577e-30,2,1.64105002e-19,4.06100497e-17,2.28834328e-16
0.068,1.57079633,1.9085072,-3.46563089e-16,2.38531224e-15,-2.99464034e-14,1.7573998e-15,0,-0,4.4408921e-17,-2.77555756e-17,5.63547556e-17,1.5358955e-32,-6.09049904e-31,0,5.93840416e-30,2,-4.91687205e-20,3.96951063e-17,2.32491562e-16
0.07,1.57079633,1.9085072,-2.50415189e-16,3.54046953e-15,8.8376523e-13,1.61304593e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,3.78709846e-32,-4.03931201e-31,0,-7.60632762e-30,2,-7.21939971e-19,4.2962881e-17,2.38642455e-16
0.072,1.57079633,1.9085072,2.61831758e-16,2.69412404e-15,6.15799223e-14,-1.09652945e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.15916348e-32,-2.87106234e-31,0,-7.4224098e-30,2,-4.25258668e-19,4.4940073e-17,2.44733964e-16
0.074,1.57079633,1.9085072,3.04040764e-17,3.47847306e-15,4.92002044e-13,1.54974478e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,3.59821428e-32,4.71185588e-33,0,-9.80023705e-30,2,-6.13989721e-19,4.77920884e-17,2.51426372e-16
0.076,1.57079633,1.9085072,2.80603797e-16,2.48922422e-15,3.76116215e-14,-1.3327235e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.83685718e-32,-3.73967274e-31,0,3.91164743e-29,2,-1.40590966e-19,4.93391535e-17,2.57163059e-16
0.078,1.57079633,1.9085072,1.5052312e-16,3.30659429e-15,2.86370548e-13,-5.43433405e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,3.22552815e-32,-8.17992913e-32,0,-9.91555315e-30,2,-4.18364386e-19,5.24288063e-17,2.64384844e-16
0.08,1.57079633,1.9085072,2.67272771e-16,2.28908883e-15,-2.44744795e-14,-1.38481218e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.54653376e-32,-3.7012259e-31,0,3.34816634e-29,2,9.68966561e-20,5.37126846e-17,2.69716691e-16
0.082,1.57079633,1.9085072,4.42582849e-16,2.10611983e-15,4.73991693e-13,-2.24713463e-15,0,-0,4.4408921e-17,-5.55111512e-17,3.23682852e-17,1.66665714e-32,-9.94543248e-31,0,-1.39868195e-29,2,6.84407679e-20,5.65106546e-17,2.7569789e-16
0.084,1.57079633,1.9085072,5.81403093e-16,-6.62737231e-16,-1.99427231e-13,-3.53661994e-15,0,-0,4.4408921e-17,-5.55111512e-17,3.23682852e-17,7.2305203e-33,-2.05620177e-30,-0,6.21076869e-30,2,1.25920894e-18,5.82509661e-17,2.76381039e-16
0.086,1.57079633,1.9085072,3.32254668e-16,-2.76821791e-15,-2.41572751e-13,-2.72226139e-15,0,-0,4.4408921e-17,-5.55111512e-17,3.23682852e-17,2.65603572e-32,-9.04484054e-31,-0,1.29269149e-29,2,2.12197609e-18,6.05520468e-17,2.72303878e-16
0.088,1.57079633,1.9085072,-2.72195335e-16,-2.72978952e-15,-2.18319268e-13,3.422257e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.28290578e-32,-9.31522391e-32,-0,-7.06904447e-30,2,2.03750195e-18,6.34916333e-17,2.66348356e-16
0.09,1.57079633,1.9085072,-3.50858856e-16,-1.89825055e-15,6.90019601e-14,1.08483534e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.09506964e-32,-3.80624086e-31,-0,-3.97444177e-30,2,1.33891788e-18,6.61119639e-17,2.61935429e-16
0.092,1.57079633,1.9085072,-2.56871535e-16,-1.22724994e-15,1.00401176e-13,9.10445384e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,4.61733965e-33,-2.33867504e-31,-0,1.24084942e-29,2,7.47824585e-19,6.79861036e-17,2.59012585e-16
0.094,1.57079633,1.9085072,-1.32789853e-16,-1.70112019e-15,-1.15412921e-13,2.98019959e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,9.15788247e-33,-3.95740264e-32,-0,-3.00248096e-30,2,7.31858607e-19,6.99914416e-17,2.55260275e-16
0.096,1.57079633,1.9085072,2.17914291e-16,-2.1148309e-15,-5.99052568e-13,-1.38054712e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.60496906e-32,-3.00840946e-31,-0,-3.81313433e-30,2,5.81951333e-19,7.18611639e-17,2.52059134e-16
0.098,1.57079633,1.9085072,-1.41431624e-16,-1.64028543e-15,-6.24224509e-14,4.74010742e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,8.78677592e-33,-6.70401088e-32,-0,-3.06015905e-30,2,4.66294752e-19,7.40866391e-17,2.48373957e-16
0.1,1.57079633,1.9085072,2.2859787e-16,-2.02688446e-15,-5.70898973e-13,-1.31397296e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.54994347e-32,-3.0037142e-31,-0,-3.86191227e-30,2,3.41967213e-19,7.60228294e-17,2.45317818e-16
0.102,1.57079633,1.9085072,-1.15460559e-16,-1.56866537e-15,-6.24782402e-14,4.41212983e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,8.34350928e-33,-5.09426978e-32,-0,-2.94448069e-30,2,2.72179626e-19,7.83044134e-17,2.41791376e-16
0.104,1.57079633,1.9085072,2.34912067e-16,-1.9472581e-15,-5.48988993e-13,-1.26893922e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.50679381e-32,-2.98089134e-31,-0,-3.90072502e-30,2,1.88757759e-19,8.02828748e-17,2.38864857e-16
0.106,1.57079633,1.9085072,-9.72881241e-17,-1.50592211e-15,-6.25497296e-14,4.11126488e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,7.99905243e-33,-3.99977248e-32,-0,-2.85079027e-30,2,1.50628265e-19,8.26304553e-17,2.35478831e-16
0.108,1.57079633,1.9085072,2.35740378e-16,-1.8773598e-15,-5.28473243e-13,-1.22566742e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.47544427e-32,-2.88939302e-31,-0,-3.95437075e-30,2,9.39310654e-20,8.46621524e-17,2.32665435e-16
0.11,1.57079633,1.9085072,-8.49230203e-17,-1.4506869e-15,-6.18180631e-14,3.86784551e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,7.73204666e-33,-3.28469123e-32,-0,-2.77844567e-30,2,7.56611019e-20,8.70833336e-17,2.29402921e-16
0.112,1.57079633,1.9085072,2.33290758e-16,-1.81545678e-15,-5.0933919e-13,-1.1844791e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.45331885e-32,-2.76328027e-31,-0,-4.01961103e-30,2,3.60506162e-20,8.91745918e-17,2.26689328e-16
0.114,1.57079633,1.9085072,-7.6334496e-17,-1.40161569e-15,-6.06233004e-14,3.66619826e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,7.5249144e-33,-2.79857396e-32,-0,-2.72343203e-30,2,3.01053091e-20,9.16726965e-17,2.23536445e-16
0.116,1.57079633,1.9085072,-9.02252755e-17,-9.43529782e-16,2.25233682e-14,5.30217779e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,3.35299623e-33,-4.78390452e-32,-0,1.11186044e-29,2,-1.58182804e-19,9.35088559e-17,2.21320014e-16
0.118,1.57079633,1.9085072,-3.10152503e-17,-1.33346653e-15,-1.05507672e-13,1.61710271e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,7.20712257e-33,-5.01548451e-33,-0,-2.53629363e-30,2,-1.32680387e-20,9.59313635e-17,2.18376944e-16
0.12,1.57079633,1.9085072,-7.70650878e-17,-9.17185088e-16,4.07179782e-15,4.63791112e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,3.28958721e-33,-3.57421028e-32,-0,1.10915783e-29,2,-1.56931347e-19,9.77735245e-17,2.16237652e-16
0.122,1.57079633,1.9085072,-2.86995792e-17,-1.29497747e-15,-1.032516e-13,1.49819529e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,7.09910416e-33,-4.29975743e-33,-0,-2.51487415e-30,2,-1.26432656e-20,1.00278945e-16,2.13379934e-16
0.124,1.57079633,1.9085072,-7.41396087e-17,-8.91040318e-16,3.38330789e-15,4.45831256e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,3.23233002e-33,-3.30537549e-32,-0,1.10998525e-29,2,-1.50266424e-19,1.02168593e-16,2.11301939e-16
0.126,1.57079633,1.9085072,-2.76885023e-17,-1.26067185e-15,-1.00042994e-13,1.43616379e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,7.02360498e-33,-3.97652244e-33,-0,-2.5057612e-30,2,-1.03477361e-20,1.04757029e-16,2.08518862e-16
0.128,1.57079633,1.9085072,-7.17703149e-17,-8.67254582e-16,3.19251541e-15,4.30603718e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,3.18848185e-33,-3.09045644e-32,-0,1.11360714e-29,2,-1.43504287e-19,1.06693351e-16,2.06496263e-16
0.13,1.57079633,1.9085072,-2.68429918e-17,-1.2296074e-15,-9.70821083e-14,1.38097577e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,6.97260544e-33,-3.70695212e-33,-0,-2.50399123e-30,2,-7.76523598e-21,1.09361e-16,2.03780708e-16
