group,precision,model,exact,axis,peak,control,dt,integrator,contacts,failed,trace,step_us,closure_max_mm,closure_rms_mm,settled_closure_mm,aperture_peak_mm,aperture_pp_mm,aperture_recovery_mm,pad_peak_mm,weld_angle_max_deg,equality_work_J,equality_abs_work_J,iterations_mean,contact_count_max
baseline,double,connect,1,1,10,128,0.002,implicitfast,0,False,double_connect_e1_a1_p10_c128_h0.002_implicitfast_contact0.csv,2.677553333333334,0.011706647728499999,0.011706647728256673,0.011706647330962,3.4629300121880036e-07,0.0,-3.4629302203548207e-07,1.804677188547761e-07,0.0,4.733321526943372e-16,1.2200722016279501e-13,0.8055972013993004,0
baseline,double,connect,1,1,50,128,0.002,implicitfast,0,False,double_connect_e1_a1_p50_c128_h0.002_implicitfast_contact0.csv,2.6662606666666666,0.011706647728499999,0.01170664772825887,0.011706647330962,3.4629300121880036e-07,0.0,-3.4629302203548207e-07,1.804677188547761e-07,0.0,-6.24524832770847e-17,1.0478966340192966e-13,0.8060969515242379,0
baseline,double,connect,1,2,10,128,0.002,implicitfast,0,False,double_connect_e1_a2_p10_c128_h0.002_implicitfast_contact0.csv,2.7874093333333336,0.012146544601800001,0.011710903799313752,0.011706647330962,0.006886550893002441,0.013772194599998011,-3.4469697929306875e-07,0.00360170525606787,0.0,-7.715919479679317e-07,0.00013156458387178293,1.0,0
baseline,double,connect,1,2,50,128,0.002,implicitfast,0,False,double_connect_e1_a2_p50_c128_h0.002_implicitfast_contact0.csv,2.725507111111111,0.0139088392114,0.011811806634476969,0.011706647330962,0.03444350560699583,0.06886099189999662,-3.3833657403503636e-07,0.01801559390464241,0.0,-1.9290306410642823e-05,0.0006577735639308054,1.0,0
baseline,double,shadow,0,0,0,128,0.002,implicitfast,0,False,double_shadow_e0_a0_p0_c128_h0.002_implicitfast_contact0.csv,3.6247477777777783,10.5000114517,10.500011451700002,10.500011512027001,4.263729924680604e-07,0.0,-4.263729924680604e-07,2.179459123248571e-07,24.657356458115345,5.2488733004797835e-18,1.748444391606692e-13,0.8095952023988006,0
baseline,double,shadow,0,0,10,128,0.002,implicitfast,0,False,double_shadow_e0_a0_p10_c128_h0.002_implicitfast_contact0.csv,3.723853111111111,10.5014405572,10.500920784653768,10.500011512027001,1.1610729946931464e-06,1.726000037338693e-07,-4.263729924680604e-07,0.006467107271571753,24.657960680956844,-6.442969082605736e-05,0.000129683364504552,1.0,0
baseline,double,shadow,0,0,50,128,0.002,implicitfast,0,False,double_shadow_e0_a0_p50_c128_h0.002_implicitfast_contact0.csv,3.994572222222222,10.504681299900001,10.49927530149752,10.500011512027001,0.03662544377298904,0.036471956700000197,-4.263729924680604e-07,0.05088496955995925,24.66074582696551,-0.001611194876414923,0.0038642586210289607,1.1199400299850075,0
baseline,double,shadow,0,1,10,128,0.002,implicitfast,0,False,double_shadow_e0_a1_p10_c128_h0.002_implicitfast_contact0.csv,3.696106888888889,10.5000114517,10.500011451700002,10.500011512027001,4.263729924680604e-07,0.0,-4.263729924680604e-07,2.179459123248571e-07,24.65735645817264,7.346980795615412e-16,1.6401590784934841e-13,0.8110944527736131,0
baseline,double,shadow,0,1,50,128,0.002,implicitfast,0,False,double_shadow_e0_a1_p50_c128_h0.002_implicitfast_contact0.csv,3.6279171111111106,10.5000114517,10.500011451700002,10.500011512027001,4.263729924680604e-07,0.0,-4.263729924680604e-07,2.179459123248571e-07,24.657356458115345,5.008182299691314e-16,1.475256801710322e-13,0.8110944527736131,0
baseline,double,shadow,0,2,10,128,0.002,implicitfast,0,False,double_shadow_e0_a2_p10_c128_h0.002_implicitfast_contact0.csv,5.704597777777778,10.5008445676,10.50001116744996,10.500011512027001,0.009642548772989534,0.01928501910000019,-4.247036888838096e-07,0.004928897601659462,24.65936370081525,-7.653501949962162e-06,0.00038230082661880674,1.0,0
baseline,double,shadow,0,2,50,128,0.002,implicitfast,0,False,double_shadow_e0_a2_p50_c128_h0.002_implicitfast_contact0.csv,3.7892337777777776,10.5199999738,10.360822711134551,10.500011512027001,0.6684195540729923,0.7442118980999988,-4.174858583838592e-07,0.3456690002899968,24.704784118887893,-0.00021797195452928349,0.007434523953111035,1.030984507746127,0
baseline,double,shadow,1,0,0,128,0.002,implicitfast,0,False,double_shadow_e1_a0_p0_c128_h0.002_implicitfast_contact0.csv,3.6246375555555552,0.38620063147,0.38620063147,0.38620063526042997,3.479550050866642e-07,0.0,-3.4795503284223983e-07,1.806591796206158e-07,0.4419614754193704,-7.413421653363081e-17,2.779450626280365e-14,0.8060969515242379,0
baseline,double,shadow,1,0,10,128,0.002,implicitfast,0,False,double_shadow_e1_a0_p10_c128_h0.002_implicitfast_contact0.csv,3.9026084444444447,0.444962685907,0.42297028269501835,0.38620063526042997,0.0016661247449964445,0.001378027000002724,-3.480550084256073e-07,0.030193569003646722,0.5008488028783924,-0.000735881173779282,0.002292863309981926,1.0,0
baseline,double,shadow,1,0,50,128,0.002,implicitfast,0,False,double_shadow_e1_a0_p50_c128_h0.002_implicitfast_contact0.csv,3.8840600000000003,0.658228951252,0.5425110585800031,0.38620063526042997,0.03784222324499514,0.03205939180000311,-3.4861537961949907e-07,0.1586068777704793,0.727472879033672,-0.018676559408592634,0.05201317622511462,1.0,0
baseline,double,shadow,1,1,10,128,0.002,implicitfast,0,False,double_shadow_e1_a1_p10_c128_h0.002_implicitfast_contact0.csv,3.6496977777777775,0.38620063147,0.38620063147,0.38620063526042997,3.479550050866642e-07,0.0,-3.4795503284223983e-07,1.806591796206158e-07,0.44196147541879743,5.279774863635369e-17,2.7357906402593545e-14,0.8060969515242379,0
baseline,double,shadow,1,1,50,128,0.002,implicitfast,0,False,double_shadow_e1_a1_p50_c128_h0.002_implicitfast_contact0.csv,3.7031606666666663,0.38620063147,0.38620063147,0.38620063526042997,3.479550050866642e-07,0.0,-3.4795503284223983e-07,1.8065917962061592e-07,0.44196147542051634,2.4984019766882757e-16,2.6265148610474373e-14,0.8055972013993004,0
baseline,double,shadow,1,2,10,128,0.002,implicitfast,0,False,double_shadow_e1_a2_p10_c128_h0.002_implicitfast_contact0.csv,3.729879111111111,0.400950853134,0.38625294630705864,0.38620063526042997,0.017887022044991985,0.03555522769999736,-3.464668968389262e-07,0.01056132616073561,0.45856475593328355,-4.89699328744415e-05,0.004064449358443273,1.0,0
