time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0.034,1.5708201,1.90851818,0.00280682178,0.00129759749,0.251676156,0.00161251324,-0.00129759749,0.000606781902,-2.72530167e-08,2.72445085e-08,2.76282925e-08,1.56812485e-08,4.52603728e-06,-1.68375926e-06,-2.88347439e-08,2,2.37704989e-05,-2.69428405e-05,1.09792291e-05
0.036,1.57082636,1.90852108,0.00333059191,0.00154014402,0.278890845,0.00183480319,-0.00154014402,0.000720203259,-3.38141026e-08,3.38035492e-08,3.42662606e-08,2.20832055e-08,6.11098067e-06,-2.3720436e-06,-3.8823821e-08,2,3.00303482e-05,-3.40372885e-05,1.38736552e-05
0.038,1.57083373,1.90852449,0.00390874603,0.00180796598,0.3060502,0.00206871819,-0.00180796598,0.000845444945,-4.13682351e-08,4.13553287e-08,4.19063594e-08,3.04201573e-08,8.08609401e-06,-3.26874099e-06,-5.119838e-08,2,3.74057374e-05,-4.23958016e-05,1.72847746e-05
0.04,1.57084233,1.90852847,0.00454126358,0.00210107239,0.333333662,0.00231497724,-0.00210107239,0.0009825115,-4.9973936e-08,4.99583511e-08,5.06072398e-08,4.10682804e-08,1.05129218e-05,-4.4145052e-06,-6.62670354e-08,2,4.60053632e-05,-5.21415075e-05,2.12631288e-05
0.042,1.57085227,1.90853306,0.00522864972,0.0024197131,0.361095619,0.00257511017,-0.0024197131,0.00113152015,-5.96837473e-08,5.9665143e-08,6.04215152e-08,5.445001e-08,1.34643491e-05,-5.8550115e-06,-8.43739529e-08,2,5.59384743e-05,-6.33981531e-05,2.58595487e-05
0.044,1.57086364,1.90853833,0.00597210738,0.00276445821,0.389627543,0.00285054612,-0.00276445821,0.00129273794,-7.05466618e-08,7.05246834e-08,7.13982584e-08,7.10458663e-08,1.70237675e-05,-7.64222919e-06,-1.05904781e-07,2,6.73162129e-05,-7.62916264e-05,3.11257702e-05
0.046,1.57087658,1.90854432,0.00677325639,0.00313606909,0.418973021,0.00314181532,-0.00313606909,0.00146652144,-8.26101062e-08,8.25843855e-08,8.35850207e-08,9.13991281e-08,2.12803207e-05,-9.83492934e-06,-1.31272495e-07,2,8.02527212e-05,-9.0951211e-05,3.71149421e-05
0.048,1.57089119,1.90855108,0.00763357506,0.00353524151,0.448875855,0.00344822161,-0.00353524151,0.00165319664,-9.59204505e-08,9.58906065e-08,9.70283323e-08,1.1610875e-07,2.63222585e-05,-1.24979325e-05,-1.60886246e-07,2,9.48652994e-05,-0.000107509765,4.38816978e-05
0.05,1.5709076,1.90855868,0.00855384965,0.00396235216,0.47887159,0.00376808866,-0.00396235216,0.00185294041,-1.10521817e-07,1.10487457e-07,1.11772471e-07,1.4581183e-07,3.22316638e-05,-1.57002347e-05,-1.95115764e-07,2,0.000111273411,-0.000126102592,5.14816962e-05
0.052,1.57092592,1.90856717,0.00953388453,0.00441732502,0.508465324,0.00409940658,-0.00441732502,0.00206571801,-1.26453794e-07,1.26414516e-07,1.27857119e-07,1.81162638e-07,3.90832689e-05,-1.95127603e-05,-2.34267006e-07,2,0.00012959688,-0.000146865398,5.99707915e-05
0.054,1.57094628,1.90857661,0.010572579,0.00489966626,0.537304735,0.00444053843,-0.00489966626,0.00229129943,-1.43749101e-07,1.43704494e-07,1.4531499e-07,2.22817406e-07,4.69479434e-05,-2.40067295e-05,-2.78579596e-07,2,0.000149953971,-0.000169932112,6.94041457e-05
0.056,1.57096879,1.90858704,0.0116682964,0.00540863388,0.565268875,0.00479065402,-0.00540863388,0.00252933867,-1.62432202e-07,1.62381851e-07,1.64170433e-07,2.71431226e-07,5.58987711e-05,-2.92533204e-05,-3.28245326e-07,2,0.000172460003,-0.000195433318,7.983559e-05
0.058,1.57099355,1.90859852,0.0128193239,0.00594344914,0.592440561,0.00514971886,-0.00594344914,0.00277947268,-1.825193e-07,1.82462791e-07,1.84439451e-07,3.27666668e-07,6.60159142e-05,-3.53245877e-05,-3.83435299e-07,2,0.000197226862,-0.000223495698,9.13173945e-05
0.06,1.57102069,1.9086111,0.0140242008,0.00650344774,0.618987339,0.00551809035,-0.00650344774,0.003041392,-2.04019512e-07,2.03956429e-07,2.0613091e-07,3.92206591e-07,7.7386807e-05,-4.22948325e-05,-4.44317933e-07,2,0.00022436329,-0.000254242365,0.0001039004
0.062,1.5710503,1.90862484,0.0152817767,0.00708810683,0.645015741,0.00589594902,-0.00708810683,0.00331485342,-2.26936469e-07,2.26866399e-07,2.29248185e-07,4.65760292e-07,9.01005762e-05,-5.02412584e-05,-5.11054361e-07,2,0.000253975507,-0.000287793573,0.000117634303
0.064,1.57108249,1.90863977,0.0165910019,0.00769694861,0.670469156,0.00628284597,-0.00769694861,0.00359963493,-2.51269505e-07,2.51192042e-07,2.53790361e-07,5.49054638e-07,0.000104238709,-5.92430178e-05,-5.83769534e-07,2,0.000286167611,-0.000324267157,0.000132567831
0.066,1.57111737,1.90865595,0.0179505744,0.00832937803,0.695112173,0.00667756422,-0.00832937803,0.00389545974,-2.77013879e-07,2.76928623e-07,2.79752452e-07,6.42809189e-07,0.000119866113,-6.93785383e-05,-6.62510275e-07,2,0.00032104134,-0.000363778275,0.000148748637
0.068,1.57115502,1.90867342,0.0193586235,0.00898453697,0.718599773,0.0070783263,-0.00898453697,0.00420192817,-3.04159981e-07,3.0406654e-07,3.07124575e-07,7.47702565e-07,0.000137026654,-8.07219045e-05,-7.4720867e-07,2,0.000358695156,-0.000406438366,0.000166222874
0.07,1.57119555,1.90869224,0.0208125726,0.00966124111,0.740590678,0.00748321676,-0.00966124111,0.00451848805,-3.32691958e-07,3.32589952e-07,3.35890552e-07,8.64342027e-07,0.000155744992,-9.33395798e-05,-8.37666949e-07,2,0.000399222903,-0.000452353623,0.000185034569
0.072,1.57123904,1.90871243,0.022309229,0.0103580207,0.760847949,0.00789060261,-0.0103580207,0.0048444538,-3.62586443e-07,3.62475505e-07,3.66026612e-07,9.93246746e-07,0.000176033261,-0.000107288594,-9.33569478e-07,2,0.000442712467,-0.000501623484,0.000205225014
0.074,1.57128557,1.90873403,0.0238450354,0.0110732365,0.77928176,0.00829935823,-0.0110732365,0.00517906055,-3.93811937e-07,3.93691716e-07,3.97500772e-07,1.13484821e-06,0.000197898491,-0.000122616566,-1.03451403e-06,2,0.000489244851,-0.000554339576,0.000226832327
0.076,1.57133522,1.90875709,0.0254163531,0.0118052096,0.79592068,0.00870881195,-0.0118052096,0.00552152507,-4.26329057e-07,4.26199223e-07,4.30273105e-07,1.2895022e-06,0.00022134624,-0.000139362974,-1.14004502e-06,2,0.000538893801,-0.000610585291,0.000249891277
0.078,1.57138805,1.90878164,0.0270196441,0.012552306,0.810832315,0.00911846879,-0.012552306,0.00587108495,-4.6009145e-07,4.59951692e-07,4.64296677e-07,1.45750037e-06,0.000246377781,-0.000157560386,-1.24967077e-06,2,0.000591725895,-0.000670435897,0.000274433328
0.08,1.57144413,1.90880769,0.0286514813,0.0133129406,0.824035406,0.00952766196,-0.0133129406,0.00622700084,-4.95046876e-07,4.94896909e-07,4.99518651e-07,1.63906979e-06,0.000272981629,-0.000177234387,-1.3628558e-06,2,0.000647800786,-0.000733958804,0.000300486742
0.082,1.5715035,1.90883528,0.0303084018,0.0140855103,0.83544504,0.00993530267,-0.0140855103,0.00658852491,-5.31137974e-07,5.30977538e-07,5.35881066e-07,1.83435459e-06,0.000301123145,-0.000198401601,-1.4789921e-06,2,0.00070717126,-0.000801213635,0.0003280766
0.084,1.57156621,1.90886443,0.0319866908,0.0148682946,0.844873002,0.0103398348,-0.0148682946,0.00695485433,-5.68302394e-07,5.68131256e-07,5.73320957e-07,2.04338347e-06,0.000330737098,-0.000221066186,-1.59736443e-06,2,0.000769882895,-0.000872251842,0.000357224648
0.086,1.5716323,1.90889515,0.0336822067,0.0156593746,0.852077472,0.0107393951,-0.0156593746,0.00732509349,-6.0647234e-07,6.06290297e-07,6.11769889e-07,2.26603442e-06,0.000361726524,-0.000245216013,-1.71712794e-06,2,0.000835973328,-0.000947115867,0.000387948952
0.088,1.5717018,1.90892747,0.0353903259,0.0164566078,0.856834066,0.011132085,-0.0164566078,0.00769824214,-6.4557383e-07,6.45380708e-07,6.51153197e-07,2.50200949e-06,0.000393968115,-0.000270819941,-1.83731011e-06,2,0.000905471304,-0.00102583808,0.000420263459
0.09,1.57177472,1.90896138,0.0371060262,0.0172576662,0.858993233,0.0115162171,-0.0172576662,0.00807321303,-6.85526089e-07,6.85321746e-07,6.91389364e-07,2.75082788e-06,0.000427321052,-0.000297827041,-1.95683749e-06,2,0.000978395803,-0.00110843976,0.000454177589
0.092,1.57185108,1.9089969,0.0388240569,0.0180601142,0.858499005,0.0118904269,-0.0180601142,0.00844886865,-7.26241384e-07,7.26025715e-07,7.32389869e-07,3.01183668e-06,0.00046163461,-0.000326167726,-2.0745758e-06,2,0.00105475544,-0.00119493048,0.000489695956
0.094,1.57193088,1.90903402,0.0405391139,0.01886149,0.855364531,0.012253613,-0.01886149,0.00882405878,-7.67625407e-07,7.67398341e-07,7.74059571e-07,3.28423019e-06,0.000496750613,-0.000355755805,-2.18936666e-06,2,0.00113454826,-0.00128530776,0.000526818264
0.096,1.57201409,1.90907274,0.0422459413,0.0196593515,0.849620313,0.0126047524,-0.0196593515,0.00919764243,-8.09578008e-07,8.09339513e-07,8.16297466e-07,3.56706514e-06,0.000532499632,-0.000386490099,-2.30004673e-06,2,0.00121776171,-0.0013795572,0.000565539309
0.098,1.5721007,1.90911305,0.043939325,0.0204512738,0.841262026,0.0129426911,-0.0204512738,0.00956848644,-8.51993997e-07,8.51744078e-07,8.58997494e-07,3.85926231e-06,0.00056869311,-0.000418254601,-2.40544529e-06,2,0.00130437283,-0.00147765253,0.000605849033
0.1,1.57219067,1.90915493,0.0456139966,0.0212348054,0.830222168,0.0132660098,-0.0212348054,0.00993544478,-8.94763691e-07,8.94502393e-07,9.02049104e-07,4.15959262e-06,0.000605115724,-0.000450916961,-2.50436714e-06,2,0.00139434817,-0.00157955562,0.000647732501
0.102,1.57228397,1.90919837,0.0472645064,0.022007409,0.816376269,0.0135730214,-0.022007409,0.0102973312,-9.37773081e-07,9.37500487e-07,9.45337404e-07,4.46665467e-06,0.000641522159,-0.000484326052,-2.59557523e-06,2,0.00148764351,-0.00168521619,0.000691169778
0.104,1.57238053,1.90924334,0.0488851322,0.02276642,0.799577266,0.0138618887,-0.02276642,0.0106528995,-9.80903646e-07,9.80619882e-07,9.88742974e-07,4.77885547e-06,0.000677640259,-0.000518309879,-2.67778721e-06,2,0.00158420344,-0.00179457119,0.000736135699
