angle_difference_from_tendon_rad,closure,compliance_m_N,damping,decay_s,deflection_m,deflection_rms_m,drive_kv,dt,duration,energy_change_J,energy_initial_J,equality_work_J,exact,failed,frequency,group,impedance,input_torque_Nm,input_work_J,inverse_dynamics_error_Nm,load,mass,max_closure_m,mode,num_bytes,output_work_J,precision,reference_rms_Nm,rotation,rows_mode,samples,static_error_Nm,static_reference_Nm,step_seconds,theta,timeconst,torque_difference_from_tendon_Nm,trace,work_balance_error_J
,tendon,1.6710482526100003e-05,1,0.019751355682124726,1.3718892688529796e-14,1.1666076326953714e-05,5,0.0005,2,6.11441505304e-33,0.0,-1.6842414805472962e-05,1,False,1,calibration,0.9896954546604648,9.15666115584932e-13,-1.8641618331937684e-05,0.00041245883732731695,1,0,1.67052006685e-05,calibrate,8,3.420158903599355e-05,double,0.06618188490413064,90,1,4001,9.15666115584932e-13,0.0,0.002804456,90,0.010000000000000005,,,1.2824441014170947e-06
,tendon,1.7219393466500005e-05,1,0.02036048201993487,1.969060470230385e-14,1.201718113540189e-05,5,0.0005,2,4.13459512162e-33,0.0,-1.7359207504819762e-05,1,False,1,calibration,0.99,1.1926631169856388e-12,-1.8633149508301904e-05,0.0004034372032789155,1,0,1.72139490979e-05,calibrate,8,3.471050141597802e-05,double,0.06618175349635658,90,1,4001,1.1926631169856388e-12,0.0,0.002755901,90,0.010304545339535176,,,1.2818555971436476e-06
,tendon,1.13981872373e-05,1,0.02113370401026647,1.3111600694060437e-14,7.96533674559359e-06,5,0.0005,2,1.14480813681e-33,0.0,-1.1467437178536076e-05,1,False,1,calibration,0.9929699004520567,8.503746773165946e-13,-1.8708994147508708e-05,0.00044486299906141137,1,0,1.31878903283e-05,calibrate,8,2.8889278728333187e-05,double,0.06618249712495528,90,1,4001,8.503746773165946e-13,0.0,0.002810949,90,0.009999014709558171,,,1.2871525977115966e-06
,tendon,1.13981872373e-05,1,0.02113370401026647,1.3111600694060437e-14,7.96533674559359e-06,5,0.0005,2,1.14480813681e-33,0.0,-1.1467437178536076e-05,1,False,1,calibration,0.9929699004520567,8.503746773165946e-13,-1.8708994147508708e-05,0.00044486299906141137,1,0,1.31878903283e-05,calibrate,8,2.8889278728333187e-05,double,0.06618249712495528,90,1,4001,8.503746773165946e-13,0.0,0.002944484,90,0.009999014709558171,,,1.2871525977115966e-06
,tendon,1.17453141744e-05,1,0.020786423900200867,1.3155032618784121e-14,8.206400502254119e-06,5,0.0005,2,2.39120150661e-33,0.0,-1.1818654619667322e-05,1,False,1,calibration,0.9927558020466772,8.54748397675071e-13,-1.870456463578391e-05,0.0004427314458337108,1,0,1.32447589751e-05,calibrate,8,2.9236406646412096e-05,double,0.06618245695255784,90,1,4001,8.54748397675071e-13,0.0,0.002766452,90,0.009999014709558171,,,1.2868126090391376e-06
,tendon,1.2103012729e-05,1,0.0212529179697039,1.8514212385413117e-14,8.452940268252088e-06,5,0.0005,2,1.81648251845e-33,0.0,-1.2184230837469694e-05,1,False,1,calibration,0.9929699004520567,1.08563583039183e-12,-1.86961761590587e-05,0.0004331736322256006,1,0,1.34820485458e-05,calibrate,8,2.959410621182321e-05,double,0.06618230928095449,90,1,4001,1.08563583039183e-12,0.0,0.002836269,90,0.010303530042532127,,,1.2863007847051847e-06
,tendon,1.1398185998499998e-05,1,0.01976349384873513,6.7851946283791015e-15,7.968223441369955e-06,5,0.0005,2,7.2405096061e-33,0.0,-1.1461087398869926e-05,1,False,1,calibration,0.9921930164592978,5.139949188830607e-13,-1.8715600049048545e-05,0.0004581210380783401,1,0,1.28957440818e-05,calibrate,8,2.8889277489593126e-05,double,0.06618269374853401,90,1,4001,5.139949188830607e-13,0.0,0.002859601,90,0.009488472193020818,,,1.287409958325345e-06
,tendon,1.1398185998499998e-05,1,0.01976349384873513,6.7851946283791015e-15,7.968223441369955e-06,5,0.0005,2,7.2405096061e-33,0.0,-1.1461087398869926e-05,1,False,1,calibration,0.9921930164592978,5.139949188830607e-13,-1.8715600049048545e-05,0.0004581210380783401,1,0,1.28957440818e-05,calibrate,8,2.8889277489593126e-05,double,0.06618269374853401,90,1,4001,5.139949188830607e-13,0.0,0.002939783,90,0.009488472193020818,,,1.287409958325345e-06
,tendon,1.1398185998499998e-05,1,0.01976349384873513,6.7851946283791015e-15,7.968223441369955e-06,5,0.0005,2,7.2405096061e-33,0.0,-1.1461087398869926e-05,1,False,1,calibration,0.9921930164592978,5.139949188830607e-13,-1.8715600049048545e-05,0.0004581210380783401,1,0,1.28957440818e-05,calibrate,8,2.8889277489593126e-05,double,0.06618269374853401,90,1,4001,5.139949188830607e-13,0.0,0.002947358,90,0.009488472193020818,,,1.287409958325345e-06
,connect,4.407196435209999e-05,1,0.019750274045923836,1.0288170315675846e-14,3.08447200368112e-05,5,0.0005,2,3.40955526419e-33,0.0,-4.450087892508852e-05,1,False,1,calibration,0.99,8.53810476909965e-13,-1.8188742944999398e-05,0.00018545232881632404,1,0.02,5.57302474633e-05,calibrate,8,6.156399452755447e-05,double,0.06617609228915461,90,1,4001,8.53810476909965e-13,0.0,0.004073367,90,0.010000000000000005,,,1.1256273425334446e-06
,connect,4.5413673605699994e-05,1,0.019750279520386597,1.0199974198600542e-14,3.178598303816076e-05,5,0.0005,2,2.4723606121e-33,0.0,-4.585876079546306e-05,1,False,1,calibration,0.9896954546604648,8.558799395433495e-13,-1.8173389205502273e-05,0.00017979416852947628,1,0.02,5.74269884103e-05,calibrate,8,6.290573333957793e-05,double,0.06617595092750177,90,1,4001,8.558799395433495e-13,0.0,0.004065353,90,0.010000000000000005,,,1.1264166613874084e-06
