time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1
0.11,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.112,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.114,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.116,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.118,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.12,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.122,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.124,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.126,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.128,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.13,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.132,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.134,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.136,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.138,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.14,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.142,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.144,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.146,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.148,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.15,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.152,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.154,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.156,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.158,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.16,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.162,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.164,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.166,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.168,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.17,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.172,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.174,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.176,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.178,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.18,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.182,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.184,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
