time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2,q3
0.038,1.57079633,1.9085072,-1.735218e-16,-1.81244714e-15,5.58662029e-13,8.72368241e-16,0,-0,0,0,6.28190294e-17,3.18037265e-32,-1.51374908e-31,-0,-2.81792686e-30,3,-9.51847933e-21,3.22918314e-17,-6.37222659e-17,-1.66188067e-17
0.04,1.57079633,1.9085072,1.23925934e-16,-2.04571971e-15,8.72199358e-14,-6.62935383e-16,0,-0,0,0,6.28190294e-17,3.17751559e-32,-8.21548868e-32,-0,2.65760696e-30,3,8.66114206e-20,3.36954448e-17,-6.75859831e-17,-1.98373054e-17
0.042,1.57079633,1.9085072,-1.76108625e-16,-1.83900377e-15,5.63033496e-13,8.9422921e-16,0,-0,0,0,6.28190294e-17,3.41664556e-32,-1.57481477e-31,-0,-3.34849309e-30,3,-2.73721691e-20,3.51735542e-17,-7.16234771e-17,-2.32155994e-17
0.044,1.57079633,1.9085072,1.24121783e-16,-2.06102647e-15,8.89120316e-14,-6.54336837e-16,0,-0,0,0,6.28190294e-17,3.32553467e-32,-8.12174548e-32,-0,2.33599688e-30,3,6.74558466e-20,3.67362114e-17,-7.55251795e-17,-2.6746555e-17
0.046,1.57079633,1.9085072,-1.78799279e-16,-1.85000737e-15,5.71119845e-13,9.18835576e-16,0,-0,0,0,6.28190294e-17,3.62300443e-32,-1.64287138e-31,-0,-3.87635106e-30,3,-4.96783618e-20,3.83694258e-17,-7.95880926e-17,-3.04459812e-17
0.048,1.57079633,1.9085072,1.2604414e-16,-2.06435203e-15,1.2396896e-13,-6.53449128e-16,0,-0,0,0,3.23682852e-17,3.44612686e-32,-8.23634332e-32,-0,-9.88082525e-31,3,4.6456859e-20,4.00696638e-17,-8.35008551e-17,-3.42894506e-17
0.05,1.57079633,1.9085072,-7.86751879e-17,-1.68426863e-15,-3.9176318e-13,5.32972097e-16,0,-0,0,0,3.23682852e-17,4.1379518e-32,-4.19316799e-32,-0,-4.30208377e-29,3,-2.79192316e-19,4.1986389e-17,-8.71516745e-17,-4.0811847e-17
0.052,1.57079633,1.9085072,-2.45470837e-16,-7.14672932e-16,3.31634499e-14,1.58252428e-15,0,-0,0,0,3.23682852e-17,1.98950507e-32,-3.8846356e-31,-0,1.23939036e-29,3,-7.10340194e-19,4.8228771e-17,-8.93112901e-17,-4.09095998e-17
0.054,1.57079633,1.9085072,2.36516775e-16,-7.83967118e-16,2.85607275e-13,-8.56154327e-16,0,-0,0,0,3.23682852e-17,2.15200066e-32,-2.0249486e-31,-0,-1.20646113e-30,3,-6.52859096e-19,5.67317142e-17,-9.05328597e-17,-3.62338283e-17
0.056,1.57079633,1.9085072,-6.56575517e-17,-6.88802627e-16,6.99599097e-13,5.84371014e-16,0,-0,0,0,3.23682852e-17,2.92329488e-32,-3.83683701e-32,-0,-5.52784175e-30,3,-5.12166512e-19,6.51250634e-17,-9.22403599e-17,-3.1350062e-17
0.058,1.57079633,1.9085072,2.83867698e-16,-1.23646512e-15,1.56344071e-13,-1.36495054e-15,0,-0,0,0,3.23682852e-17,2.40639903e-32,-3.87465367e-31,-0,1.93567029e-29,3,-1.08775903e-19,7.2954795e-17,-9.42430169e-17,-2.66367217e-17
0.06,1.57079633,1.9085072,1.59942356e-16,-1.04916805e-15,2.74288898e-13,-7.11884177e-16,0,-0,0,0,3.23682852e-17,2.94944535e-32,-1.13860433e-31,-0,-2.71044629e-30,3,-1.75655207e-19,8.29788222e-17,-9.60427991e-17,-2.09677041e-17
0.062,1.57079633,1.9085072,-8.6378352e-18,-1.07179088e-15,-1.63710658e-13,3.80014579e-17,0,-0,0,0,3.92523115e-17,1.46524549e-32,-3.28250331e-34,-0,-5.66305345e-30,3,1.03754362e-20,8.93627981e-17,-9.83284856e-17,-1.55047538e-17
0.064,1.57079633,1.9085072,-8.43953636e-17,-7.79469118e-16,2.35147057e-16,4.85315624e-16,0,-0,0,0,3.92523115e-17,8.23816558e-33,-4.09583886e-32,-0,-1.20795191e-30,3,-1.26677612e-19,9.18570165e-17,-1.00112444e-16,-9.60207288e-18
0.066,1.57079633,1.9085072,1.13066357e-16,-8.09517943e-16,-2.55928985e-13,-4.70482313e-16,0,-0,0,0,3.92523115e-17,1.24599115e-32,-5.31957214e-32,-0,-3.9342309e-30,3,-1.89698948e-19,9.28304804e-17,-1.01473994e-16,-3.69536783e-18
0.068,1.57079633,1.9085072,-2.73277114e-17,-6.49042016e-16,-4.94985699e-14,2.21752829e-16,0,-0,0,0,3.92523115e-17,8.351826e-33,-6.05999732e-33,-0,-6.40116741e-31,3,-1.70228545e-19,9.46640296e-17,-1.0291135e-16,2.43074267e-18
0.07,1.57079633,1.9085072,1.11145978e-16,-7.04450982e-16,-2.39513289e-13,-4.66873929e-16,0,-0,0,0,3.92523115e-17,1.21631024e-32,-5.18911594e-32,-0,-3.20461077e-30,3,-1.77711923e-19,9.51731796e-17,-1.04082864e-16,8.62043683e-18
0.072,1.57079633,1.9085072,-2.12659989e-17,-5.72440751e-16,-4.86385399e-14,1.81195731e-16,0,-0,0,0,3.92523115e-17,8.95067272e-33,-3.85330821e-33,-0,-4.24744419e-31,3,-1.49731473e-19,9.65454014e-17,-1.05345192e-16,1.50810594e-17
0.074,1.57079633,1.9085072,6.07379066e-17,-6.73889671e-16,-1.81033689e-13,-2.55485714e-16,0,-0,0,0,3.92523115e-17,1.26649005e-32,-1.55176674e-32,-0,-2.90362395e-30,3,-9.64076373e-20,9.79283395e-17,-1.06532822e-16,2.17302093e-17
0.076,1.57079633,1.9085072,-3.52935325e-17,-5.2550517e-16,-2.7570659e-14,2.35577156e-16,0,-0,0,0,3.92523115e-17,9.75168487e-33,-8.31435002e-33,-0,-3.74009618e-31,3,-1.18218987e-19,9.89393663e-17,-1.07707618e-16,2.85508027e-17
0.078,1.57079633,1.9085072,2.11961666e-17,-6.55431572e-16,-1.36668571e-13,-8.81626685e-17,0,-0,0,0,3.92523115e-17,1.34113696e-32,-1.86871061e-33,-0,-2.7181871e-30,3,-3.56363294e-20,1.01253161e-16,-1.08963874e-16,3.58148964e-17
0.08,1.57079633,1.9085072,-1.48707914e-16,-4.44499916e-16,-3.12432051e-13,8.17767674e-16,0,-0,0,0,3.92523115e-17,5.43083173e-33,-1.21608525e-31,-0,-2.85874037e-30,3,-1.48456205e-19,1.01445978e-16,-1.10055415e-16,4.22585325e-17
0.082,1.57079633,1.9085072,-2.65013793e-16,1.11144358e-16,6.39305618e-14,1.64977809e-15,0,-0,0,0,3.92523115e-17,3.948197e-32,-4.37213949e-31,0,2.87298317e-29,3,-6.49418252e-19,9.39312685e-17,-1.10272738e-16,4.00193049e-17
0.084,1.57079633,1.9085072,2.95837151e-17,4.32511269e-16,2.13649558e-13,2.7331682e-16,0,-0,0,0,3.92523115e-17,3.42443738e-32,8.08572692e-33,0,-9.31629621e-30,3,-8.4247079e-19,8.2572172e-17,-1.09550386e-16,3.38781243e-17
0.086,1.57079633,1.9085072,1.35108823e-16,3.88499117e-16,1.38217906e-14,-3.65026111e-16,0,-0,0,0,3.92523115e-17,2.14919061e-32,-4.93182482e-32,0,-3.58039591e-30,3,-6.21036007e-19,7.28046809e-17,-1.08713795e-16,3.13427394e-17
0.088,1.57079633,1.9085072,-1.02063993e-16,5.77133636e-16,3.98672281e-13,8.32792243e-16,0,-0,0,0,3.92523115e-17,3.47499989e-32,-8.49981016e-32,0,-8.9038261e-30,3,-6.44944556e-19,6.31219999e-17,-1.07824407e-16,2.8573393e-17
0.09,1.57079633,1.9085072,1.13886013e-16,5.68405526e-16,6.98467448e-14,-3.04677238e-16,0,-0,0,0,3.92523115e-17,2.22419448e-32,-3.4698476e-32,0,-3.71744892e-30,3,-5.29505655e-19,5.34773375e-17,-1.06634748e-16,2.58079339e-17
0.092,1.57079633,1.9085072,-1.23397574e-16,7.79850598e-16,4.64297358e-13,9.11754583e-16,0,-0,0,0,3.92523115e-17,3.59503279e-32,-1.12508303e-31,0,-8.82503561e-30,3,-5.89533429e-19,4.38362363e-17,-1.05372444e-16,2.27490802e-17
0.094,1.57079633,1.9085072,1.15214497e-16,7.19483661e-16,6.67844662e-14,-3.38758285e-16,0,-0,0,0,6.54613942e-17,2.09782559e-32,-3.90298655e-32,0,-5.86736809e-30,3,-4.74628404e-19,3.43919426e-17,-1.03831044e-16,1.94899896e-17
0.096,1.57079633,1.9085072,-2.03583953e-16,8.09674672e-16,5.15759384e-13,1.20604695e-15,0,-0,0,0,6.54613942e-17,3.76816485e-32,-2.45531806e-31,0,-1.11709071e-29,3,-3.76254371e-19,2.59943575e-17,-1.02504388e-16,1.71868761e-17
0.098,1.57079633,1.9085072,8.40242776e-17,7.74238383e-16,1.0947135e-13,-2.38746909e-16,0,-0,0,0,6.54613942e-17,2.06581312e-32,-2.00605365e-32,0,-5.74231013e-30,3,-3.62748959e-19,1.68089207e-17,-1.00874491e-16,1.37120613e-17
0.1,1.57079633,1.9085072,-2.30828862e-16,8.78447123e-16,5.61708965e-13,1.30489226e-15,0,-0,0,0,6.54613942e-17,3.72604814e-32,-3.01206795e-31,0,-1.0841421e-29,3,-3.01495899e-19,8.63636365e-18,-9.94269545e-17,1.11042232e-17
0.102,1.57079633,1.9085072,8.28178541e-17,8.40092395e-16,1.20288344e-13,-2.61767619e-16,0,-0,0,0,6.54613942e-17,2.05565296e-32,-2.16790325e-32,0,-5.73268523e-30,3,-3.04643303e-19,-3.28598385e-19,-9.76584349e-17,7.27573468e-18
0.104,1.57079633,1.9085072,-2.53672159e-16,9.45321495e-16,1.22213785e-12,1.39404463e-15,0,-0,0,0,6.28190294e-17,3.70987058e-32,-3.5363031e-31,0,-2.28654777e-29,3,-2.51367662e-19,-8.32954732e-18,-9.60917478e-17,4.36610983e-18
0.106,1.57079633,1.9085072,3.75644434e-16,7.53587277e-17,1.42158536e-13,-1.97416414e-15,0,-0,0,0,6.28190294e-17,8.94904914e-33,-7.4158377e-31,0,-4.97409053e-30,3,1.91883927e-19,-1.53447622e-17,-9.51872297e-17,-3.41289635e-19
0.108,1.57079633,1.9085072,3.6740927e-16,-1.00609567e-15,-7.85050415e-13,-2.32788374e-15,0,-0,0,0,6.54613942e-17,8.26120587e-33,-8.55286066e-31,-0,-1.19055399e-30,3,9.8167479e-19,-1.80887505e-17,-9.64054997e-17,-2.84494316e-18
0.11,1.57079633,1.9085072,-1.59696105e-16,-9.85197947e-16,-1.83529629e-14,3.66867592e-16,0,-0,0,0,6.54613942e-17,1.5350794e-32,-5.85873256e-32,-0,-7.93490112e-30,3,8.63225871e-19,-1.7581621e-17,-9.85467468e-17,-7.11678508e-18
0.112,1.57079633,1.9085072,-1.48346229e-16,-6.64505357e-16,4.59318798e-14,4.67786878e-16,0,-0,0,0,6.54613942e-17,4.91734386e-33,-6.93944194e-32,-0,-2.66430704e-30,3,5.47888537e-19,-1.75925587e-17,-1.00106848e-16,-9.90821262e-18
0.114,1.57079633,1.9085072,-1.14113791e-16,-5.71050814e-16,7.53550959e-14,4.3124117e-16,0,-0,0,0,6.54613942e-17,9.82610804e-33,-4.92105648e-32,-0,-5.6603166e-30,3,2.78655571e-19,-1.73181668e-17,-1.01381686e-16,-1.42834012e-17
0.116,1.57079633,1.9085072,-6.00247901e-17,-3.43666371e-16,5.04138474e-14,2.3885513e-16,0,-0,0,0,6.54613942e-17,2.75931645e-33,-1.4337229e-32,-0,1.36250614e-29,3,1.22537641e-19,-1.78292102e-17,-1.02221679e-16,-1.71887925e-17
0.118,1.57079633,1.9085072,-4.87337709e-17,-2.0859573e-16,1.04153068e-13,2.85722662e-16,0,-0,0,0,6.54613942e-17,6.83720477e-33,-1.39243427e-32,-0,-4.13791225e-30,3,-8.41076145e-20,-1.75961975e-17,-1.0283026e-16,-2.30113771e-17
0.12,1.57079633,1.9085072,-1.3009767e-16,-5.33874468e-17,3.01934081e-13,7.88313399e-16,0,-0,0,0,6.54613942e-17,1.80146499e-32,-1.02557736e-31,-0,-9.48483404e-30,3,-2.756501e-19,-1.75521693e-17,-1.03082157e-16,-2.91628071e-17
0.122,1.57079633,1.9085072,4.09716527e-17,1.06069252e-16,7.0160614e-14,-6.12646403e-17,0,-0,0,0,6.54613942e-17,5.57360685e-33,-2.51011357e-33,0,-3.27758155e-30,3,-2.87187246e-19,-1.79638529e-17,-1.0294699e-16,-3.51292204e-17
