time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0.038,1.57079633,1.9085072,-1.210182e-15,-2.76153679e-14,5.62897466e-13,3.49910516e-15,0,-0,0,0,1.14850747e-16,2.04333072e-30,-4.23455409e-30,-0,-1.68133775e-28,2,5.10360969e-18,5.34829385e-16,-6.21237081e-17
0.04,1.57079633,1.9085072,-1.79077617e-15,-2.286642e-14,3.80796239e-14,7.93763492e-15,0,-0,-4.4408921e-17,0,6.54613942e-17,1.40555342e-30,-1.42145274e-29,-0,-3.72048601e-28,2,2.03249183e-18,4.10236687e-16,-1.12177958e-16
0.042,1.57079633,1.9085072,-2.25491011e-15,-1.50814639e-14,-1.96896114e-13,1.22217684e-14,0,-0,-4.4408921e-17,0,3.92523115e-17,6.16851594e-31,-2.75589891e-29,-0,-3.73757868e-28,2,-1.8944357e-18,2.8951816e-16,-1.48950004e-16
0.044,1.57079633,1.9085072,-1.93854224e-15,-5.22709023e-15,1.2437604e-12,1.27745469e-14,0,-0,-4.4408921e-17,0,3.46944695e-17,7.99794919e-32,-2.47639987e-29,-0,-1.07347682e-28,2,-6.16367139e-18,1.88094996e-16,-1.667188e-16
0.046,1.57079633,1.9085072,-1.20432028e-15,3.37311248e-15,1.2157469e-12,1.05846886e-14,0,-0,-4.4408921e-17,0,3.92523115e-17,3.47792808e-32,-1.27473552e-29,0,7.82137378e-29,2,-9.12617432e-18,1.01952755e-16,-1.6615396e-16
0.048,1.57079633,1.9085072,-5.72366412e-16,1.02393634e-14,-2.32618447e-12,8.22035972e-15,0,-0,-4.4408921e-17,0,6.54613942e-17,2.82607068e-31,-4.7050578e-30,0,2.35876465e-28,2,-1.07170553e-17,2.781559e-17,-1.50562875e-16
0.05,1.57079633,1.9085072,-1.09688106e-15,1.92468471e-14,5.29208679e-13,1.18922125e-14,0,-0,-4.4408921e-17,0,6.54613942e-17,9.89937493e-31,-1.30443427e-29,0,4.79381823e-28,2,-1.28156145e-17,-2.08455268e-17,-1.18991117e-16
0.052,1.57079633,1.9085072,-6.59736791e-16,2.78811915e-14,9.23178258e-13,1.05530497e-14,0,-0,0,0,6.42588033e-17,2.0746788e-30,-6.96223517e-30,0,5.79999976e-28,2,-1.45087316e-17,-4.18740435e-17,-6.94975934e-17
0.054,1.57079633,1.9085072,-1.60213207e-16,3.49891229e-14,7.4248064e-13,8.39578313e-15,0,-0,0,0,6.42588033e-17,3.26688021e-30,-1.34511534e-30,0,5.73585082e-28,2,-1.51894342e-17,-4.13459689e-17,-4.59954413e-18
0.056,1.57079633,1.9085072,2.10353512e-16,4.05904492e-14,4.90344067e-13,6.46010585e-15,0,-0,0,0,6.28190294e-17,4.3968487e-30,1.35890596e-30,0,5.16824434e-28,2,-1.50237468e-17,-2.35071297e-17,7.25966905e-17
0.058,1.57079633,1.9085072,1.42668704e-15,4.29313631e-14,1.73006608e-12,-3.85608086e-16,0,-0,4.4408921e-17,-2.77555756e-17,5.63547556e-17,4.92012845e-30,-5.50142058e-31,0,-1.91706199e-28,2,-1.34956542e-17,8.47180519e-18,1.57962754e-16
0.06,1.57079633,1.9085072,2.29019322e-15,3.98439421e-14,1.60139203e-12,-6.60544997e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,4.24020649e-30,-1.51277568e-29,0,-6.81260238e-28,2,-9.6910323e-18,5.24008638e-17,2.40712841e-16
0.062,1.57079633,1.9085072,4.68464049e-15,2.89551622e-14,5.72002564e-12,-2.18244997e-14,0,-0,4.4408921e-17,-1.11022302e-16,8.4915733e-17,2.24937449e-30,-1.02239935e-28,0,-1.57789828e-27,2,-3.19740552e-18,8.99975375e-17,3.09342293e-16
0.064,1.57079633,1.9085072,5.68573255e-15,5.16768631e-15,-2.287394e-12,-3.25593739e-14,0,-0,8.8817842e-17,-1.11022302e-16,8.38314879e-17,8.88620776e-32,-1.85123892e-28,0,-1.62283714e-28,2,8.26142219e-18,1.25655893e-16,3.38043813e-16
0.066,1.57079633,1.9085072,4.02075685e-15,-1.78500722e-14,-3.28511495e-12,-2.89391728e-14,0,-0,4.4408921e-17,-1.11022302e-16,8.38314879e-17,8.59870071e-31,-1.16357377e-28,-0,1.08186683e-27,2,1.76707772e-17,1.67183516e-16,3.19058387e-16
0.068,1.57079633,1.9085072,1.02800739e-15,-3.50472366e-14,-1.21211573e-11,-1.65571286e-14,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.27967325e-30,-1.70208505e-29,-0,3.32374511e-28,2,2.28341834e-17,2.15139314e-16,2.59898379e-16
0.07,1.57079633,1.9085072,-2.97351378e-15,-3.40573429e-14,-1.39167038e-12,5.4739249e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.10043608e-30,-1.62767911e-29,-0,-4.80318319e-28,2,1.87872879e-17,2.64320575e-16,1.89389113e-16
0.072,1.57079633,1.9085072,-3.06731192e-15,-2.79202401e-14,1.07046193e-12,9.10429748e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.08541667e-30,-2.79257202e-29,-0,-4.54917773e-28,2,1.24645243e-17,3.06430537e-16,1.28740696e-16
0.074,1.57079633,1.9085072,-2.96237432e-15,-2.09382141e-14,-1.26942202e-12,1.13694139e-14,0,-0,0,0,3.23682852e-17,1.17457543e-30,-3.36804597e-29,-0,-5.28893948e-28,2,6.88491551e-18,3.40122863e-16,8.11259864e-17
0.076,1.57079633,1.9085072,-2.46379436e-15,-1.10770293e-14,3.34955612e-12,1.18402468e-14,0,-0,0,0,6.28190294e-17,3.30506862e-31,-2.91719333e-29,-0,-1.80079159e-28,2,9.57449939e-19,3.63232193e-16,5.19679476e-17
0.078,1.57079633,1.9085072,-1.06730244e-15,-5.52093785e-15,-1.8688695e-12,6.3490428e-15,0,-0,0,0,3.23682852e-17,8.21082076e-32,-6.77634891e-30,-0,-8.83337545e-29,2,-2.02506116e-18,3.57281241e-16,3.72381631e-17
0.08,1.57079633,1.9085072,-1.44401632e-15,1.59612865e-15,5.79574171e-13,9.66330552e-15,0,-0,0,0,3.23682852e-17,8.06160513e-33,-1.39539708e-29,0,4.41139061e-29,2,-4.88644789e-18,3.40613731e-16,3.49284602e-17
0.082,1.57079633,1.9085072,-9.99348209e-16,8.51083168e-15,9.05746362e-13,8.62519497e-15,0,-0,0,0,3.23682852e-17,1.94010708e-31,-8.61957314e-30,0,1.48134909e-28,2,-7.25690785e-18,3.22966792e-16,4.69258161e-17
0.084,1.57079633,1.9085072,-5.08551712e-16,1.42054717e-14,7.36946459e-13,6.85703296e-15,0,-0,0,0,3.23682852e-17,5.38835979e-31,-3.48715585e-30,0,1.8892924e-28,2,-8.6285488e-18,3.04013356e-16,7.12685436e-17
0.086,1.57079633,1.9085072,-1.36223204e-16,1.86786481e-14,4.75749894e-12,5.26081277e-15,0,-0,0,-2.77555756e-17,1.66533454e-17,9.31237281e-31,-7.16644771e-31,0,1.92292737e-29,2,-9.15939351e-18,2.84031249e-16,1.05446607e-16
0.088,1.57079633,1.9085072,1.39317999e-15,1.73099105e-14,4.09108594e-13,-3.42933167e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,8.00662717e-31,-4.77767627e-30,0,-1.36850095e-28,2,-7.07313658e-18,2.64186344e-16,1.41733071e-16
0.09,1.57079633,1.9085072,1.35009042e-15,1.40489722e-14,-5.51060514e-13,-4.63085787e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,5.27678627e-31,-6.25207683e-30,0,-1.17018302e-28,2,-4.23918844e-18,2.47318237e-16,1.72330191e-16
